p,K,통행시간,최대밀도,Δ통행시간(%),Δ최대밀도(%),종합평가
0.0,0,52.59114568543329,0.61,0.0,0.0,효율↓안전↓
0.1,1,53.08949217831427,0.64,0.9475863025722521,4.9180327868852505,효율↓안전↓
0.1,2,57.95060470134551,0.5,10.190801029452922,-18.032786885245898,효율↓안전↑
0.1,3,68.46592837669652,0.44000000000000006,30.185276407964313,-27.86885245901638,효율↓안전↑
0.3,1,53.44887958040156,0.9800000000000001,1.630947346343598,60.65573770491805,효율↓안전↓
0.3,2,50.463966069941826,0.8099999999999999,-4.044748574626795,32.78688524590163,효율↑안전↓
0.3,3,53.06200275920203,0.5900000000000001,0.8953162507337411,-3.278688524590149,효율↓안전↑
0.3,4,62.890272250643456,0.525,19.58338505651308,-13.93442622950819,효율↓안전↑
0.5,1,70.71868005767024,0.8,34.46879533802954,31.147540983606568,효율↓안전↓
0.5,2,49.953094576591795,0.8400000000000001,-5.016150674147004,37.7049180327869,효율↑안전↓
0.5,3,49.69114918653715,1.34,-5.514229555374334,119.67213114754101,효율↑안전↓
0.5,4,50.40085975235661,0.9400000000000001,-4.164742761410019,54.09836065573772,효율↑안전↓
0.5,5,61.32450931010406,0.8099999999999999,16.606148260979495,32.78688524590163,효율↓안전↓
0.7,2,57.520300903106275,0.54,9.372595240948067,-11.475409836065566,효율↓안전↑
0.7,3,51.83070384123778,1.0,-1.4459503292512208,63.934426229508205,효율↑안전↓
0.7,4,47.81793869325835,1.22,-9.076065809110192,100.0,효율↑안전↓
0.7,5,48.32633772656742,1.58,-8.109364995345862,159.01639344262298,효율↑안전↓
0.7,6,62.54589381768946,1.1625,18.928562978641175,90.5737704918033,효율↓안전↓
0.8,2,65.64540399641895,0.49000000000000005,24.822159967892528,-19.672131147540973,효율↓안전↑
0.8,3,54.44832896962161,0.64,3.5313611445105417,4.9180327868852505,효율↓안전↓
0.8,4,48.094323095517616,0.95,-8.550531712719856,55.73770491803278,효율↑안전↓
0.8,5,48.631038300050186,1.7100000000000002,-7.529988810416762,180.32786885245903,효율↑안전↓
0.8,6,48.74140649118742,1.41,-7.320128025490368,131.14754098360655,효율↑안전↓
