scenario_id,p,config,seed,spawned,passed,pass_rate,avg_travel_time,avg_gate_wait,throughput_active,W1_avg,W1_pk,W2_avg,W2_pk
p10_cfg2_s42,0.1,2,42,794,794,1.0,53.21921618204805,23.2367758186398,1.4401015688763943,0.4188508494834799,1.0769230769230769,0.23242115027829313,0.4
p10_cfg1_s42,0.1,1,42,794,794,1.0,49.185768261964746,14.818765743073046,1.483280403512049,0.3712521672939485,0.8144796380090498,0.3307509881422925,0.5818181818181818
p10_cfg1_s46,0.1,1,46,811,811,1.0,49.155415617128476,14.807213316892726,1.4741434154321549,0.3748910935611703,0.9502262443438914,0.3749216300940439,0.8
p10_cfg1_s45,0.1,1,45,857,857,1.0,50.551730310262535,17.529929988331386,1.5559186637618008,0.4397325667437185,1.0407239819004526,0.2979177247333672,0.6181818181818182
p10_cfg1_s43,0.1,1,43,823,823,1.0,50.586618004866196,14.446719319562574,1.546120608679316,0.392261374567998,0.8959276018099548,0.4218382168795392,0.7636363636363637
p10_cfg1_s44,0.1,1,44,807,807,1.0,49.352190721649485,14.148203221809167,1.4626189397371996,0.3810053271218764,0.9321266968325792,0.46150649350649353,0.9090909090909091
p10_cfg2_s43,0.1,2,43,823,823,1.0,53.839434889434905,24.36445929526124,1.5087076076993584,0.4518029285292713,1.0497737556561086,0.24494509226763272,0.4727272727272727
p10_cfg2_s44,0.1,2,44,807,799,0.990086741016109,51.263178807947035,22.511375,1.4170578336728366,0.4622945784057748,1.1945701357466063,0.2522603079980129,0.4
p10_cfg3_s42,0.1,3,42,794,787,0.9911838790931989,59.815303430079176,35.037911392405064,1.3977353149327671,0.5051514832636583,1.1131221719457014,0.15465263568157459,0.32727272727272727
p10_cfg2_s46,0.1,2,46,811,811,1.0,52.4904761904762,23.651787916152895,1.441009239516702,0.44153493565258267,1.1040723981900453,0.24860557768924305,0.4727272727272727
p10_cfg3_s43,0.1,3,43,823,811,0.9854191980558931,63.18625954198475,37.93777641277641,1.4396887159533074,0.5578313923299458,1.085972850678733,0.15571190520274023,0.36363636363636365
p10_cfg2_s45,0.1,2,45,857,857,1.0,54.52657384987895,24.561843640606767,1.5287192293970746,0.475006323599674,1.085972850678733,0.2806353497803312,0.509090909090909
p10_cfg3_s44,0.1,3,44,807,759,0.9405204460966543,59.0307220708447,34.16843832020997,1.3543055185283925,0.5454712456974901,1.085972850678733,0.15629767058338487,0.36363636363636365
p10_cfg4_s42,0.1,4,42,794,718,0.9042821158690176,91.34009971509973,68.14098474341193,1.2766710934041612,0.7080649454351876,0.8506787330316742,0.16875724863948613,0.32727272727272727
p10_cfg4_s43,0.1,4,43,823,722,0.8772782503037667,89.42457264957265,66.27289073305671,1.2822559191274274,0.7007718924673942,0.8506787330316742,0.16342203964993748,0.32727272727272727
p10_cfg4_s44,0.1,4,44,807,701,0.8686493184634448,81.1341911764706,57.325960170697,1.2474492059267144,0.6467216750953776,0.8778280542986425,0.1641711229946524,0.2909090909090909
p10_cfg3_s46,0.1,3,46,811,782,0.9642416769420469,58.269123505976104,33.52490421455939,1.3859633595893444,0.5306277034704089,1.1221719457013575,0.15738313899494374,0.36363636363636365
p10_cfg3_s45,0.1,3,45,857,827,0.9649941656942824,58.5575719649562,33.526265060240966,1.4670790985417583,0.5632416056551376,1.0950226244343892,0.1594465555880347,0.36363636363636365
p10_cfg4_s45,0.1,4,45,857,712,0.8308051341890315,97.182183908046,74.09971988795517,1.2669683257918551,0.7208854582557005,0.8506787330316742,0.17115864527629235,0.36363636363636365
p10_cfg5_s42,0.1,5,42,794,507,0.6385390428211587,151.341784989858,130.04852362204724,0.8995927040906675,0.5241504746695058,0.6063348416289592,0.09050748448338809,0.2545454545454545
