scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,avg_esc_wait_precise,p95_esc_wait_precise,n_esc_precise,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3a_avg_density,zone3a_max_density,zone3b_avg_density,zone3b_max_density,zone3c_avg_density,zone3c_max_density,zone4a_avg_density,zone4a_max_density,zone4b_avg_density,zone4b_max_density,zone4c_avg_density,zone4c_max_density
p10_cfg2_s42,0.1,2,42,794,794,53.21921618204805,83.05000000000001,791,23.2367758186398,57.90499999999998,23.523514538558793,30.07499999999996,19.4881163084703,26.225,791,330,461,0.41719342604298354,0.0542,0.1272,1.1455357142857143,4.0,0.37986111111111115,0.8333333333333334,0.075,0.5,0.032777777777777774,0.06666666666666667,0.5315972222222222,1.0833333333333333,0.5638888888888889,1.8333333333333333,0.04444444444444444,0.06666666666666667
p10_cfg1_s42,0.1,1,42,794,794,49.185768261964746,71.23749999999998,794,14.818765743073046,34.10249999999999,26.407808564231747,36.6,22.42418136020152,32.18500000000002,794,361,433,0.45465994962216627,0.05006666666666667,0.1248,0.7535714285714287,2.7857142857142856,0.4232638888888889,1.0416666666666667,0.24861111111111112,1.5,0.035,0.06666666666666667,0.5645833333333333,1.2916666666666667,0.7597222222222223,1.8333333333333333,0.041666666666666664,0.06666666666666667
p10_cfg1_s46,0.1,1,46,811,811,49.155415617128476,75.11999999999999,794,14.807213316892726,38.72500000000002,26.865931989924444,40.43499999999998,22.91998746867169,36.36,798,358,436,0.4508816120906801,0.05152,0.1304,0.7806547619047619,3.2142857142857144,0.41701388888888885,1.0,0.1986111111111111,1.0,0.03333333333333333,0.06666666666666667,0.6225694444444444,1.5,0.7999999999999999,1.8333333333333333,0.04138888888888889,0.06666666666666667
p10_cfg1_s45,0.1,1,45,857,857,50.551730310262535,72.69499999999998,838,17.529929988331386,40.00999999999999,25.955847255369935,35.0225,21.96252969121141,30.597499999999965,842,394,444,0.4701670644391408,0.05602000000000001,0.1312,0.9541666666666666,3.892857142857143,0.47361111111111115,1.0416666666666667,0.2972222222222222,1.1666666666666667,0.03666666666666667,0.06666666666666667,0.5677083333333334,1.25,0.7444444444444445,1.8333333333333333,0.042499999999999996,0.06666666666666667
p10_cfg1_s43,0.1,1,43,823,823,50.586618004866196,75.85,822,14.446719319562574,32.995,28.102615571776166,41.1425,24.144410692588103,37.09499999999997,823,373,449,0.4537712895377129,0.05347999999999999,0.1296,0.7639880952380952,3.0,0.43333333333333335,0.9583333333333334,0.2777777777777778,1.5,0.03611111111111111,0.06666666666666667,0.6625,1.375,0.876388888888889,2.0,0.043055555555555555,0.06666666666666667
p10_cfg1_s44,0.1,1,44,807,807,49.352190721649485,72.01250000000002,776,14.148203221809167,34.299999999999955,27.904510309278372,42.47500000000004,23.920512820512833,38.2525,780,350,426,0.45103092783505155,0.05196,0.1376,0.7342261904761905,3.392857142857143,0.40902777777777777,1.0416666666666667,0.2041666666666667,1.5,0.034722222222222224,0.06666666666666667,0.6854166666666667,1.5,0.8083333333333332,2.0,0.04083333333333334,0.06666666666666667
p10_cfg2_s43,0.1,2,43,823,823,53.839434889434905,81.25249999999998,814,24.364459295261234,56.429999999999986,23.37757985257986,29.40000000000009,19.416829865361084,25.5,817,337,477,0.414004914004914,0.057133333333333335,0.1304,1.231845238095238,3.9642857142857144,0.38506944444444446,0.7916666666666666,0.09444444444444444,0.6666666666666666,0.030000000000000002,0.06666666666666667,0.5725694444444445,1.125,0.5569444444444445,1.8333333333333333,0.04611111111111111,0.06666666666666667
p10_cfg2_s44,0.1,2,44,807,799,51.263178807947035,75.84999999999998,755,22.511375,55.86500000000001,24.013907284768223,30.265,20.036213720316635,26.407500000000073,758,315,440,0.41721854304635764,0.05461333333333333,0.1376,1.1514880952380953,4.535714285714286,0.3659722222222222,0.8333333333333334,0.08472222222222221,0.6666666666666666,0.030555555555555555,0.06666666666666667,0.5361111111111111,1.0833333333333333,0.6513888888888889,1.8333333333333333,0.041666666666666664,0.06666666666666667
p10_cfg3_s42,0.1,3,42,794,787,59.815303430079176,98.2,758,35.037911392405064,77.7775,20.688984168865446,24.257499999999993,16.67914473684211,20.352500000000017,760,373,385,0.4920844327176781,0.06177333333333333,0.1312,1.6964285714285714,4.571428571428571,0.4201388888888889,0.7083333333333334,0.08472222222222221,0.3333333333333333,0.035,0.06666666666666667,0.42673611111111115,0.7916666666666666,0.10833333333333334,0.6666666666666666,0.035833333333333335,0.06666666666666667
p10_cfg2_s46,0.1,2,46,811,811,52.4904761904762,82.32999999999997,777,23.651787916152895,58.7,23.699292149292166,30.45,19.69596153846155,26.549999999999986,780,331,446,0.425997425997426,0.055406666666666674,0.1328,1.188392857142857,4.071428571428571,0.3795138888888889,0.9583333333333334,0.11388888888888889,0.8333333333333334,0.0325,0.06666666666666667,0.5434027777777778,1.125,0.5444444444444444,1.6666666666666667,0.042222222222222223,0.06666666666666667
