time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,3,0,0
40.0,36,6,0,0
45.0,56,13,0,0
50.0,79,17,0,0
55.0,93,26,0,1
60.0,110,31,1,0
65.0,127,42,1,1
70.0,129,56,1,1
75.0,123,55,1,1
80.0,116,50,0,1
85.0,107,36,0,1
90.0,98,28,1,1
95.0,86,22,1,1
100.0,74,17,1,1
105.0,64,11,1,1
110.0,52,6,1,1
115.0,41,2,1,1
120.0,32,0,1,1
125.0,25,0,1,1
130.0,17,0,0,1
135.0,11,0,0,1
140.0,5,0,0,1
145.0,0,0,0,0
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,4,0,0,0
185.0,22,4,0,0
190.0,44,9,0,0
195.0,67,17,0,0
200.0,82,21,0,0
205.0,100,26,1,0
210.0,116,29,1,1
215.0,127,30,1,1
220.0,137,42,1,1
225.0,140,59,1,1
230.0,130,53,1,1
235.0,118,43,1,1
240.0,108,32,1,1
245.0,99,25,1,1
250.0,91,21,1,1
255.0,77,16,1,1
260.0,65,9,1,1
265.0,53,2,1,1
270.0,43,0,1,1
275.0,33,0,1,1
280.0,25,0,1,1
285.0,16,0,1,1
290.0,8,0,0,1
295.0,3,0,0,1
