time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,0,0,0
35.0,17,4,0,0
40.0,40,10,0,0
45.0,65,22,0,0
50.0,83,26,0,0
55.0,103,50,1,0
60.0,120,75,0,1
65.0,136,97,0,1
70.0,150,118,0,1
75.0,157,129,1,1
80.0,155,128,1,1
85.0,149,125,0,1
90.0,141,121,1,1
95.0,132,116,0,1
100.0,127,112,0,1
105.0,119,104,0,1
110.0,116,98,0,0
115.0,111,90,0,1
120.0,106,85,0,1
125.0,99,77,0,0
130.0,94,71,1,1
135.0,88,65,1,1
140.0,76,58,0,1
145.0,73,53,1,0
150.0,66,45,0,1
155.0,59,40,1,1
160.0,51,33,0,1
165.0,46,28,1,1
170.0,38,21,0,0
175.0,33,15,0,1
180.0,35,10,1,1
185.0,52,12,0,1
190.0,72,22,0,0
195.0,87,31,0,1
200.0,101,56,1,1
205.0,121,78,0,1
210.0,135,102,0,1
215.0,150,116,1,1
220.0,162,129,0,1
225.0,169,141,1,1
230.0,163,139,1,1
235.0,159,137,0,0
240.0,154,133,1,1
245.0,148,125,0,1
250.0,140,118,1,1
255.0,135,113,0,0
260.0,127,106,0,1
265.0,121,100,0,1
270.0,115,94,0,0
275.0,107,88,0,1
280.0,102,82,0,1
285.0,94,75,0,0
290.0,85,69,0,1
295.0,81,61,1,1
