agent_id,spawn_time,queue_enter_time,service_start_time,escalator_enter_time,sink_time,travel_time,gate_wait_time,post_gate_time,gate_idx,is_tagless,sink_side,serviced
21533,26.55,36.75,36.75,55.1,55.95,29.400000000000002,0.0,19.200000000000003,3,1,upper,1
21534,26.75,37.300000000000004,38.5,57.800000000000004,58.650000000000006,31.900000000000006,1.1999999999999957,20.150000000000006,3,1,upper,1
21535,27.55,35.300000000000004,35.300000000000004,49.6,50.45,22.900000000000002,0.0,15.149999999999999,6,0,upper,1
21536,27.950000000000003,34.2,34.2,47.150000000000006,48.050000000000004,20.1,0.0,13.850000000000001,3,1,upper,1
21537,29.450000000000003,36.6,36.6,50.900000000000006,51.800000000000004,22.35,0.0,15.200000000000003,5,0,upper,1
21538,29.650000000000002,36.2,36.2,47.800000000000004,48.650000000000006,19.000000000000004,0.0,12.450000000000003,2,0,lower,1
21539,29.950000000000003,41.75,44.2,67.75,68.60000000000001,38.650000000000006,2.450000000000003,24.400000000000006,4,0,upper,1
21540,30.75,38.1,38.1,50.95,51.800000000000004,21.050000000000004,0.0,13.700000000000003,1,0,lower,1
21541,31.0,41.25,42.0,61.300000000000004,62.150000000000006,31.150000000000006,0.75,20.150000000000006,3,1,upper,1
21542,31.200000000000003,37.65,38.550000000000004,51.800000000000004,52.650000000000006,21.450000000000003,0.9000000000000057,14.100000000000001,6,0,upper,1
21543,31.75,39.0,40.25,59.550000000000004,60.400000000000006,28.650000000000006,1.25,20.150000000000006,3,1,upper,1
21544,31.950000000000003,39.95,39.95,58.650000000000006,59.550000000000004,27.6,0.0,19.6,4,0,upper,1
21546,32.25,37.85,37.85,49.1,49.95,17.700000000000003,0.0,12.100000000000001,0,0,lower,1
21547,33.45,40.150000000000006,40.150000000000006,52.45,53.300000000000004,19.85,0.0,13.149999999999999,2,0,lower,1
21548,33.95,47.45,47.45,68.60000000000001,69.45,35.5,0.0,22.0,6,0,upper,1
21549,34.75,41.25,41.25,53.0,53.85,19.1,0.0,12.600000000000001,6,0,upper,1
21550,34.95,41.7,41.800000000000004,55.150000000000006,56.050000000000004,21.1,0.10000000000000142,14.25,2,0,lower,1
21551,35.2,46.050000000000004,46.650000000000006,62.150000000000006,63.050000000000004,27.85,0.6000000000000014,16.4,5,0,upper,1
21552,35.4,42.800000000000004,43.75,63.050000000000004,63.900000000000006,28.500000000000007,0.9499999999999957,20.150000000000006,3,1,upper,1
21554,35.6,41.75,41.75,55.95,56.800000000000004,21.200000000000003,0.0,15.050000000000004,5,0,upper,1
21555,35.85,45.0,47.6,62.2,63.050000000000004,27.200000000000003,2.6000000000000014,15.450000000000003,0,0,lower,1
21556,36.050000000000004,45.45,45.45,60.5,61.35,25.299999999999997,0.0,15.899999999999999,1,0,lower,1
21557,36.25,44.35,44.35,56.95,57.800000000000004,21.550000000000004,0.0,13.450000000000003,6,0,upper,1
21559,36.5,45.5,50.25,65.60000000000001,66.45,29.950000000000003,4.75,16.200000000000003,0,0,lower,1
21560,36.7,46.0,46.0,64.35000000000001,65.2,28.5,0.0,19.200000000000003,3,1,upper,1
21562,36.9,44.650000000000006,44.650000000000006,58.45,59.300000000000004,22.400000000000006,0.0,14.649999999999999,0,0,lower,1
21564,37.800000000000004,47.050000000000004,47.5,69.45,70.3,32.49999999999999,0.44999999999999574,22.799999999999997,4,0,upper,1
21566,38.0,47.25,49.2,72.0,72.85000000000001,34.85000000000001,1.9500000000000028,23.650000000000006,5,0,upper,1
21568,38.2,50.1,51.45,72.85000000000001,73.7,35.5,1.3500000000000014,22.25,3,1,upper,1
21570,38.45,49.45,50.800000000000004,63.900000000000006,64.75,26.299999999999997,1.3500000000000014,13.949999999999996,1,0,lower,1
21571,38.650000000000006,48.45,48.45,61.35,62.2,23.549999999999997,0.0,13.75,1,0,lower,1
21573,38.85,51.5,52.900000000000006,75.4,76.25,37.4,1.4000000000000057,23.349999999999994,4,0,upper,1
21574,39.050000000000004,53.45,55.1,70.10000000000001,70.95,31.9,1.6499999999999986,15.850000000000001,2,0,lower,1
21576,39.300000000000004,46.900000000000006,46.900000000000006,59.300000000000004,60.150000000000006,20.85,0.0,13.25,2,0,lower,1
21577,39.5,51.1,54.95,76.25,77.10000000000001,37.60000000000001,3.8500000000000014,22.150000000000006,3,1,upper,1
21580,39.7,49.650000000000006,49.650000000000006,66.9,67.75,28.049999999999997,0.0,18.099999999999994,3,1,upper,1
21583,39.95,44.550000000000004,44.550000000000004,60.400000000000006,61.300000000000004,21.35,0.0,16.75,5,0,upper,1
21584,40.150000000000006,53.35,54.050000000000004,74.55,75.4,35.25,0.7000000000000028,21.35,6,0,upper,1
21586,40.35,47.5,47.75,65.60000000000001,66.45,26.1,0.25,18.700000000000003,3,1,upper,1
21587,40.6,51.6,56.7,78.80000000000001,79.65,39.050000000000004,5.100000000000001,22.950000000000003,3,1,upper,1
21588,40.800000000000004,48.95,50.45,71.15,72.0,31.199999999999996,1.5,21.549999999999997,4,0,upper,1
21589,41.0,47.85,48.85,63.050000000000004,63.900000000000006,22.900000000000006,1.0,15.050000000000004,2,0,lower,1
21590,41.25,53.85,55.800000000000004,79.65,80.5,39.25,1.9500000000000028,24.699999999999996,6,0,upper,1
21592,41.45,54.7,54.7,71.5,72.35000000000001,30.900000000000006,0.0,17.650000000000006,0,0,lower,1
21594,41.650000000000006,52.0,55.85,77.95,78.80000000000001,37.150000000000006,3.8500000000000014,22.95000000000001,4,0,upper,1
21597,41.900000000000006,50.6,53.2,73.7,74.55,32.64999999999999,2.6000000000000014,21.349999999999994,3,1,upper,1
21598,42.1,50.6,52.35,64.75,65.60000000000001,23.500000000000007,1.75,13.250000000000007,1,0,lower,1
21601,42.300000000000004,52.1,58.45,80.5,81.35000000000001,39.050000000000004,6.350000000000001,22.900000000000006,3,1,upper,1
21602,42.550000000000004,54.900000000000006,54.900000000000006,77.10000000000001,77.95,35.4,0.0,23.049999999999997,5,0,upper,1
21603,42.75,57.5,58.85,72.9,73.75,31.0,1.3500000000000014,14.899999999999999,2,0,lower,1
21605,42.95,56.6,74.2,102.60000000000001,103.45,60.5,17.6,29.25,3,1,upper,1
21606,43.2,58.45,61.95,77.2,78.05000000000001,34.85000000000001,3.5,16.10000000000001,0,0,lower,1
21608,43.400000000000006,59.5,63.85,94.95,95.80000000000001,52.400000000000006,4.350000000000001,31.95000000000001,6,0,upper,1
21609,43.6,55.7,57.2,83.05000000000001,83.9,40.300000000000004,1.5,26.700000000000003,6,0,upper,1
21611,43.85,55.25,57.0,75.5,76.35000000000001,32.50000000000001,1.75,19.35000000000001,0,0,lower,1
21613,44.050000000000004,52.6,60.2,82.2,83.05000000000001,39.00000000000001,7.600000000000001,22.85000000000001,3,1,upper,1
21614,44.25,57.0,60.550000000000004,73.75,74.60000000000001,30.35000000000001,3.5500000000000043,14.050000000000004,0,0,lower,1
21616,44.5,56.1,72.45,97.5,98.35000000000001,53.85000000000001,16.35,25.900000000000006,3,1,upper,1
21619,44.7,53.6,63.7,86.45,87.30000000000001,42.60000000000001,10.100000000000001,23.60000000000001,3,1,upper,1
