agent_id,spawn_time,queue_enter_time,service_start_time,escalator_enter_time,sink_time,travel_time,gate_wait_time,post_gate_time,gate_idx,is_tagless,sink_side,serviced
86757,23.8,34.25,34.25,50.6,51.45,27.650000000000002,0.0,17.200000000000003,2,1,lower,1
86758,26.6,34.35,34.35,49.95,50.800000000000004,24.200000000000003,0.0,16.450000000000003,5,0,upper,1
86759,27.75,34.550000000000004,34.550000000000004,46.85,47.7,19.950000000000003,0.0,13.149999999999999,6,0,upper,1
86760,29.650000000000002,36.050000000000004,37.75,51.2,52.050000000000004,22.400000000000002,1.6999999999999957,14.300000000000004,4,1,upper,1
86761,30.0,40.300000000000004,43.95,60.300000000000004,61.150000000000006,31.150000000000006,3.6499999999999986,17.200000000000003,2,1,lower,1
86762,30.25,40.800000000000004,45.7,62.2,63.050000000000004,32.800000000000004,4.899999999999999,17.35,2,1,lower,1
86763,30.450000000000003,42.650000000000006,46.7,68.55,69.4,38.95,4.049999999999997,22.700000000000003,4,1,upper,1
86764,30.650000000000002,36.0,36.0,48.35,49.2,18.55,0.0,13.200000000000003,4,1,upper,1
86765,31.05,39.0,39.5,53.800000000000004,54.650000000000006,23.600000000000005,0.5,15.150000000000006,4,1,upper,1
86766,31.450000000000003,39.300000000000004,40.45,53.45,54.300000000000004,22.85,1.1499999999999986,13.850000000000001,2,1,lower,1
86767,31.650000000000002,39.800000000000004,42.2,55.050000000000004,55.900000000000006,24.250000000000004,2.3999999999999986,13.700000000000003,2,1,lower,1
86768,31.900000000000002,45.650000000000006,57.2,78.80000000000001,79.65,47.75,11.549999999999997,22.450000000000003,4,1,upper,1
86769,32.1,38.7,38.7,52.0,52.85,20.75,0.0,14.149999999999999,2,1,lower,1
86770,32.300000000000004,45.45,45.45,66.7,67.55,35.24999999999999,0.0,22.099999999999994,3,0,upper,1
86771,32.550000000000004,41.800000000000004,49.2,64.65,65.5,32.949999999999996,7.399999999999999,16.299999999999997,2,1,lower,1
86772,32.75,42.800000000000004,52.7,68.8,69.65,36.900000000000006,9.899999999999999,16.950000000000003,2,1,lower,1
86775,32.95,42.150000000000006,44.95,60.85,61.7,28.75,2.799999999999997,16.75,4,1,upper,1
86777,33.2,41.650000000000006,43.2,59.800000000000004,60.650000000000006,27.450000000000003,1.5499999999999972,17.450000000000003,4,1,upper,1
