time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,5,0,0
40.0,35,6,0,0
45.0,56,13,0,0
50.0,76,17,0,0
55.0,92,22,0,0
60.0,110,33,1,1
65.0,120,44,1,1
70.0,124,57,1,1
75.0,122,58,0,1
80.0,115,57,1,1
85.0,105,43,1,1
90.0,96,35,1,1
95.0,83,27,0,1
100.0,73,19,1,1
105.0,62,14,1,1
110.0,50,6,1,1
115.0,38,0,0,1
120.0,31,0,1,1
125.0,21,0,1,1
130.0,13,0,1,1
135.0,5,0,0,1
140.0,0,0,0,0
145.0,0,0,0,0
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,4,0,0,0
185.0,20,2,0,0
190.0,43,11,0,0
195.0,65,16,0,0
200.0,84,22,0,0
205.0,103,34,1,0
210.0,120,42,1,1
215.0,128,62,1,1
220.0,139,79,1,1
225.0,142,87,1,1
230.0,130,79,1,1
235.0,122,67,1,1
240.0,108,60,1,1
245.0,101,53,1,1
250.0,88,46,1,1
255.0,79,39,1,1
260.0,68,31,1,1
265.0,58,23,0,1
270.0,49,15,1,1
275.0,39,9,0,1
280.0,32,4,1,1
285.0,23,2,1,1
290.0,15,0,1,1
295.0,6,0,0,1
