time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,9,0,0,0
35.0,28,5,0,0
40.0,49,13,0,0
45.0,73,15,0,0
50.0,92,26,1,0
55.0,108,41,1,1
60.0,120,57,0,1
65.0,134,73,1,1
70.0,146,78,1,1
75.0,135,79,1,1
80.0,128,69,1,1
85.0,120,57,1,1
90.0,112,51,1,1
95.0,101,43,1,1
100.0,93,40,1,1
105.0,81,33,1,1
110.0,67,27,0,1
115.0,58,21,1,1
120.0,49,15,1,1
125.0,40,9,1,1
130.0,31,3,0,0
135.0,27,0,1,1
140.0,21,0,1,1
145.0,15,0,0,1
150.0,9,0,1,1
155.0,3,0,0,0
160.0,1,0,0,1
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,6,0,0,0
185.0,22,5,0,0
190.0,42,8,0,0
195.0,65,14,0,0
200.0,81,20,0,0
205.0,99,25,0,0
210.0,115,39,1,1
215.0,126,63,0,1
220.0,139,74,1,1
225.0,140,77,1,1
230.0,132,73,1,1
235.0,123,62,1,1
240.0,118,49,1,1
245.0,107,39,1,1
250.0,95,30,1,1
255.0,86,25,1,1
260.0,75,20,1,1
265.0,63,14,1,1
270.0,52,9,1,1
275.0,40,3,1,1
280.0,31,0,0,1
285.0,23,0,1,1
290.0,16,0,1,1
295.0,9,0,0,1
