time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,5,0,0
40.0,34,5,0,0
45.0,57,9,0,0
50.0,76,14,1,0
55.0,92,23,0,1
60.0,106,24,0,1
65.0,121,30,1,1
70.0,124,32,1,1
75.0,125,45,1,1
80.0,113,44,1,1
85.0,105,31,1,1
90.0,95,17,1,1
95.0,85,8,1,1
100.0,73,0,1,1
105.0,63,0,1,1
110.0,51,0,1,1
115.0,38,0,1,1
120.0,29,0,1,1
125.0,22,0,0,1
130.0,16,0,0,1
135.0,10,0,0,1
140.0,4,0,0,1
145.0,0,0,0,0
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,4,0,0,0
185.0,21,3,0,0
190.0,42,11,0,0
195.0,63,15,0,0
200.0,86,21,0,0
205.0,102,28,1,1
210.0,113,31,1,1
215.0,129,41,1,1
220.0,140,51,1,1
225.0,138,60,1,1
230.0,129,62,1,1
235.0,118,51,1,1
240.0,106,37,1,1
245.0,100,24,1,1
250.0,86,20,1,1
255.0,75,14,1,1
260.0,64,6,1,1
265.0,54,0,1,1
270.0,45,0,1,1
275.0,34,0,1,1
280.0,23,0,1,1
285.0,16,0,1,1
290.0,9,0,0,1
295.0,3,0,0,1
