time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,1,0,0
35.0,24,5,0,0
40.0,44,11,0,0
45.0,65,13,0,0
50.0,86,16,1,0
55.0,103,23,1,1
60.0,118,31,1,1
65.0,127,38,1,1
70.0,139,47,1,1
75.0,149,64,1,1
80.0,136,64,1,1
85.0,127,53,1,1
90.0,120,38,1,1
95.0,110,28,1,1
100.0,98,17,1,1
105.0,86,6,1,1
110.0,76,0,1,1
115.0,64,0,1,1
120.0,52,0,1,1
125.0,40,0,1,1
130.0,28,0,1,1
135.0,17,0,0,1
140.0,11,0,0,1
145.0,5,0,0,1
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,8,1,0,0
185.0,23,4,0,0
190.0,42,9,0,0
195.0,66,11,0,0
200.0,85,19,1,0
205.0,102,24,1,0
210.0,115,32,1,1
215.0,129,35,0,1
220.0,142,45,1,1
225.0,146,63,1,1
230.0,136,57,1,1
235.0,127,51,1,1
240.0,115,33,1,1
245.0,104,20,1,1
250.0,94,6,1,1
255.0,82,0,1,1
260.0,73,0,1,1
265.0,62,0,1,1
270.0,50,0,1,1
275.0,38,0,1,1
280.0,28,0,1,1
285.0,16,0,0,1
290.0,10,0,0,1
295.0,4,0,0,1
