time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,15,4,0,0
40.0,33,6,0,0
45.0,56,11,0,0
50.0,76,20,0,0
55.0,97,36,1,1
60.0,108,47,1,0
65.0,125,81,0,1
70.0,131,102,0,1
75.0,127,101,0,1
80.0,127,96,0,1
85.0,120,88,1,1
90.0,112,83,1,1
95.0,99,76,0,1
100.0,91,68,1,1
105.0,83,61,1,1
110.0,76,53,1,1
115.0,67,45,0,1
120.0,61,36,0,1
125.0,58,30,1,0
130.0,45,20,1,0
135.0,37,13,1,0
140.0,29,5,0,0
145.0,23,2,1,1
150.0,16,0,0,0
155.0,11,0,1,1
160.0,4,0,1,0
165.0,1,0,1,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,4,0,0,0
185.0,20,2,0,0
190.0,42,9,0,0
195.0,68,19,0,0
200.0,85,24,0,0
205.0,103,42,1,1
210.0,119,73,1,0
215.0,135,99,1,1
220.0,146,112,1,1
225.0,148,113,1,0
230.0,142,108,1,1
235.0,132,103,1,1
240.0,127,97,1,1
245.0,117,90,1,1
250.0,107,81,1,1
255.0,99,74,1,1
260.0,88,63,0,1
265.0,81,56,1,1
270.0,71,50,1,1
275.0,63,43,1,0
280.0,57,34,0,0
285.0,53,25,1,1
290.0,41,16,1,1
295.0,34,9,1,1
