time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,1,0,0,0
30.0,5,0,0,0
35.0,23,2,0,0
40.0,46,11,0,0
45.0,68,17,0,0
50.0,88,23,0,1
55.0,103,37,0,1
60.0,121,51,1,1
65.0,133,60,1,1
70.0,146,79,1,1
75.0,155,80,1,1
80.0,150,83,1,1
85.0,138,71,1,1
90.0,130,61,1,1
95.0,119,46,1,1
100.0,107,36,1,1
105.0,98,29,1,1
110.0,88,23,1,1
115.0,76,17,1,1
120.0,63,11,1,1
125.0,52,6,0,1
130.0,42,0,1,1
135.0,33,0,0,1
140.0,25,0,1,1
145.0,15,0,0,1
150.0,8,0,0,1
155.0,4,0,0,0
160.0,1,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,5,0,0,0
185.0,18,5,0,0
190.0,38,9,0,0
195.0,59,14,0,0
200.0,80,19,0,0
205.0,97,25,1,1
210.0,112,33,1,0
215.0,127,43,1,1
220.0,135,51,1,1
225.0,143,63,1,1
230.0,140,71,1,1
235.0,130,65,1,1
240.0,120,51,1,1
245.0,108,36,1,1
250.0,98,23,1,1
255.0,89,17,1,1
260.0,77,11,1,1
265.0,65,5,1,1
270.0,54,0,1,1
275.0,44,0,1,1
280.0,35,0,0,1
285.0,26,0,0,1
290.0,17,0,0,1
295.0,11,0,0,1
