time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,9,0,0,0
35.0,28,6,0,0
40.0,51,10,0,0
45.0,72,14,0,0
50.0,90,16,1,1
55.0,104,20,1,1
60.0,116,28,1,1
65.0,127,30,1,1
70.0,139,38,1,1
75.0,129,41,1,1
80.0,119,39,1,1
85.0,111,30,1,1
90.0,102,17,1,1
95.0,92,4,1,1
100.0,85,0,1,1
105.0,73,0,1,1
110.0,60,0,1,1
115.0,50,0,1,1
120.0,38,0,1,1
125.0,26,0,1,1
130.0,18,0,0,1
135.0,12,0,0,1
140.0,6,0,0,1
145.0,0,0,0,0
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,6,1,0,0
185.0,22,5,0,0
190.0,43,8,0,0
195.0,64,11,0,0
200.0,87,19,1,0
205.0,100,26,1,0
210.0,113,31,0,1
215.0,123,43,0,1
220.0,139,51,1,1
225.0,140,61,1,1
230.0,131,61,1,1
235.0,125,47,1,1
240.0,120,36,1,1
245.0,108,23,1,1
250.0,95,14,1,1
255.0,85,3,1,1
260.0,76,0,1,1
265.0,66,0,1,1
270.0,54,0,1,1
275.0,42,0,1,1
280.0,30,0,1,1
285.0,20,0,1,1
290.0,8,0,1,1
295.0,1,0,0,1
