time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,3,0,0
40.0,35,8,0,0
45.0,57,16,0,0
50.0,78,25,0,0
55.0,99,41,0,1
60.0,114,64,0,1
65.0,130,89,1,1
70.0,136,106,1,1
75.0,136,115,0,1
80.0,127,105,1,0
85.0,123,102,0,0
90.0,117,97,0,1
95.0,112,90,0,1
100.0,105,84,1,1
105.0,97,78,0,1
110.0,93,72,0,0
115.0,88,67,0,1
120.0,78,60,0,1
125.0,73,55,0,0
130.0,65,50,1,1
135.0,61,44,1,1
140.0,56,38,0,1
145.0,50,34,1,1
150.0,40,27,0,0
155.0,39,24,0,0
160.0,36,18,1,1
165.0,29,12,0,1
170.0,23,5,0,1
175.0,18,0,1,0
180.0,15,1,0,0
185.0,29,0,0,1
190.0,49,12,1,1
195.0,66,18,0,0
200.0,85,34,0,0
205.0,107,56,0,1
210.0,124,84,0,1
215.0,139,102,0,0
220.0,155,124,1,1
225.0,158,130,1,1
230.0,152,125,0,1
235.0,146,121,0,1
240.0,137,115,0,0
245.0,132,113,1,1
250.0,124,106,0,1
255.0,119,103,0,1
260.0,113,98,0,1
265.0,110,91,1,1
270.0,101,85,0,0
275.0,101,80,0,1
280.0,95,75,1,1
285.0,85,68,0,1
290.0,79,63,0,1
295.0,74,57,1,1
