time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,0,0,0
35.0,19,4,0,0
40.0,39,7,0,0
45.0,62,13,0,0
50.0,85,20,1,0
55.0,97,23,0,1
60.0,113,30,0,1
65.0,128,52,1,1
70.0,138,73,1,1
75.0,141,91,0,1
80.0,136,86,1,1
85.0,130,77,1,1
90.0,122,67,1,1
95.0,111,59,1,1
100.0,103,51,1,1
105.0,92,42,1,1
110.0,80,33,0,1
115.0,71,24,1,1
120.0,65,17,1,1
125.0,56,8,1,1
130.0,47,1,1,1
135.0,40,0,1,1
140.0,30,0,0,1
145.0,22,0,1,1
150.0,13,0,0,1
155.0,7,0,0,1
160.0,1,0,0,1
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,7,0,0,0
185.0,27,4,0,0
190.0,50,12,0,0
195.0,71,19,0,0
200.0,92,24,1,0
205.0,110,35,0,1
210.0,129,56,1,1
215.0,140,78,1,1
220.0,148,97,0,1
225.0,156,102,0,1
230.0,149,98,1,1
235.0,144,87,1,1
240.0,136,79,1,1
245.0,126,74,1,1
250.0,115,64,1,1
255.0,101,55,1,1
260.0,90,46,1,1
265.0,81,37,1,1
270.0,72,28,0,1
275.0,65,21,1,1
280.0,57,13,1,1
285.0,47,4,0,1
290.0,39,0,1,1
295.0,30,0,0,1
