agent_id,spawn_time,queue_enter_time,service_start_time,escalator_enter_time,sink_time,travel_time,gate_wait_time,post_gate_time,gate_idx,is_tagless,sink_side,serviced
93752,27.200000000000003,35.95,35.95,51.6,52.45,25.25,0.0,16.5,4,1,upper,1
93753,27.5,33.800000000000004,33.800000000000004,47.45,48.300000000000004,20.800000000000004,0.0,14.5,6,0,upper,1
93755,28.450000000000003,34.45,34.45,45.7,46.550000000000004,18.1,0.0,12.100000000000001,1,1,lower,1
93756,29.0,34.7,34.7,46.6,47.45,18.450000000000003,0.0,12.75,5,1,upper,1
93757,29.25,40.6,40.6,59.6,60.45,31.200000000000003,0.0,19.85,2,1,lower,1
93758,30.450000000000003,43.95,43.95,54.6,55.45,25.0,0.0,11.5,0,0,lower,1
93759,30.700000000000003,40.650000000000006,42.35,60.75,61.6,30.9,1.6999999999999957,19.25,2,1,lower,1
93760,30.900000000000002,36.4,36.5,48.75,49.6,18.7,0.10000000000000142,13.100000000000001,5,1,upper,1
93762,31.1,37.300000000000004,37.300000000000004,50.35,51.2,20.1,0.0,13.899999999999999,6,0,upper,1
93763,31.35,39.300000000000004,39.300000000000004,51.5,52.35,21.0,0.0,13.049999999999997,1,1,lower,1
93764,31.55,41.95,41.95,59.300000000000004,60.150000000000006,28.600000000000005,0.0,18.200000000000003,4,1,upper,1
93765,31.75,41.95,41.95,55.6,56.45,24.700000000000003,0.0,14.5,1,1,lower,1
93766,32.050000000000004,37.95,37.95,53.050000000000004,53.900000000000006,21.85,0.0,15.950000000000003,3,0,upper,1
93767,33.35,42.35,42.85,57.550000000000004,58.400000000000006,25.050000000000004,0.5,15.550000000000004,5,1,upper,1
93768,33.6,41.150000000000006,44.1,63.300000000000004,64.15,30.550000000000004,2.9499999999999957,20.050000000000004,2,1,lower,1
93769,33.800000000000004,42.75,42.75,58.400000000000006,59.300000000000004,25.5,0.0,16.550000000000004,6,0,upper,1
93770,34.0,41.050000000000004,41.050000000000004,56.550000000000004,57.400000000000006,23.400000000000006,0.0,16.35,5,1,upper,1
93771,34.65,45.5,45.5,62.95,63.800000000000004,29.150000000000006,0.0,18.300000000000004,4,1,upper,1
93772,34.85,43.5,43.7,57.150000000000006,58.050000000000004,23.200000000000003,0.20000000000000284,14.350000000000001,1,1,lower,1
93773,35.1,46.050000000000004,46.050000000000004,58.650000000000006,59.550000000000004,24.450000000000003,0.0,13.5,0,0,lower,1
93777,35.300000000000004,44.45,46.35,61.45,62.300000000000004,27.0,1.8999999999999986,15.950000000000003,5,1,upper,1
93778,35.5,47.75,47.75,61.6,62.45,26.950000000000003,0.0,14.700000000000003,1,1,lower,1
93780,35.75,47.800000000000004,50.75,69.9,70.75,35.0,2.9499999999999957,20.0,4,1,upper,1
93781,35.95,43.95,44.6,60.150000000000006,61.050000000000004,25.1,0.6499999999999986,16.450000000000003,5,1,upper,1
93783,36.15,50.2,56.0,84.35000000000001,85.2,49.050000000000004,5.799999999999997,29.200000000000003,4,1,upper,1
93784,36.4,43.25,43.25,55.650000000000006,56.550000000000004,20.150000000000006,0.0,13.300000000000004,3,0,upper,1
93786,36.6,42.85,45.85,64.25,65.10000000000001,28.500000000000007,3.0,19.250000000000007,2,1,lower,1
93787,36.800000000000004,46.800000000000004,47.25,64.15,65.0,28.199999999999996,0.44999999999999574,17.75,4,1,upper,1
93790,37.0,49.45,51.1,71.55,72.4,35.400000000000006,1.6499999999999986,21.300000000000004,2,1,lower,1
93792,37.25,53.6,55.95,69.05,69.9,32.650000000000006,2.3500000000000014,13.950000000000003,6,0,upper,1
93793,37.45,48.300000000000004,52.5,74.15,75.0,37.55,4.199999999999996,22.5,4,1,upper,1
93794,37.65,53.7,53.7,74.15,75.0,37.35,0.0,21.299999999999997,1,1,lower,1
93796,37.9,55.2,58.95,81.80000000000001,82.65,44.75000000000001,3.75,23.700000000000003,1,1,lower,1
93797,38.1,51.45,56.35,76.7,77.55000000000001,39.45000000000001,4.899999999999999,21.20000000000001,5,1,upper,1
93798,38.300000000000004,54.2,55.45,75.85000000000001,76.7,38.4,1.25,21.25,1,1,lower,1
93799,38.550000000000004,49.95,51.1,67.10000000000001,67.95,29.4,1.1499999999999986,16.85,5,1,upper,1
93803,38.75,47.400000000000006,49.25,62.45,63.300000000000004,24.550000000000004,1.8499999999999943,14.050000000000004,0,0,lower,1
93804,38.95,46.400000000000006,47.6,65.9,66.75,27.799999999999997,1.1999999999999957,19.15,2,1,lower,1
93805,39.2,55.95,58.1,78.4,79.25,40.05,2.1499999999999986,21.15,2,1,lower,1
93808,39.400000000000006,50.7,57.75,80.10000000000001,80.95,41.55,7.049999999999997,23.200000000000003,4,1,upper,1
93815,39.7,56.7,64.2,86.9,87.75,48.05,7.5,23.549999999999997,1,1,lower,1
93816,39.85,49.35,49.35,67.45,68.3,28.449999999999996,0.0,18.949999999999996,2,1,lower,1
93817,40.050000000000004,57.2,65.95,88.60000000000001,89.45,49.4,8.75,23.5,1,1,lower,1
93819,40.25,52.150000000000006,52.85,73.25,74.10000000000001,33.85000000000001,0.6999999999999957,21.250000000000007,2,1,lower,1
93822,40.5,47.300000000000004,49.0,65.35000000000001,66.2,25.700000000000003,1.6999999999999957,17.200000000000003,4,1,upper,1
93826,40.7,50.45,52.85,71.60000000000001,72.45,31.75,2.3999999999999986,19.6,5,1,upper,1
93827,40.900000000000006,58.25,58.25,77.55000000000001,78.4,37.5,0.0,20.150000000000006,3,0,upper,1
93828,41.150000000000006,52.300000000000004,52.300000000000004,68.2,69.05,27.89999999999999,0.0,16.749999999999993,6,0,upper,1
93829,41.35,52.0,58.1,81.80000000000001,82.65,41.300000000000004,6.100000000000001,24.550000000000004,5,1,upper,1
93831,41.550000000000004,54.7,57.2,77.55000000000001,78.4,36.85,2.5,21.200000000000003,1,1,lower,1
93832,41.800000000000004,52.650000000000006,59.85,85.2,86.05000000000001,44.25000000000001,7.199999999999996,26.20000000000001,5,1,upper,1
93835,42.0,50.95,54.6,75.85000000000001,76.7,34.7,3.6499999999999986,22.1,5,1,upper,1
93836,42.2,52.5,52.5,72.45,73.3,31.099999999999994,0.0,20.799999999999997,3,0,upper,1
93840,42.45,49.300000000000004,49.300000000000004,66.25,67.10000000000001,24.650000000000006,0.0,17.800000000000004,5,1,upper,1
93841,42.650000000000006,54.75,61.25,86.05000000000001,86.9,44.25,6.5,25.650000000000006,4,1,upper,1
93843,42.85,56.650000000000006,58.800000000000004,73.3,74.15,31.300000000000004,2.1499999999999986,15.350000000000001,6,0,upper,1
93844,43.1,55.800000000000004,63.35,97.95,98.80000000000001,55.70000000000001,7.549999999999997,35.45000000000001,5,1,upper,1
93847,43.300000000000004,55.45,56.35,76.7,77.55000000000001,34.25000000000001,0.8999999999999986,21.20000000000001,2,1,lower,1
93848,43.5,59.150000000000006,60.25,78.4,79.25,35.75,1.0999999999999943,19.0,3,0,upper,1
93852,43.75,55.7,60.7,83.5,84.35000000000001,40.60000000000001,5.0,23.650000000000006,1,1,lower,1
93855,43.95,49.7,54.25,75.0,75.85000000000001,31.900000000000006,4.549999999999997,21.60000000000001,4,1,upper,1
93857,44.150000000000006,53.300000000000004,54.6,75.0,75.85000000000001,31.700000000000003,1.2999999999999972,21.250000000000007,2,1,lower,1
93859,44.400000000000006,56.45,59.85,80.10000000000001,80.95,36.55,3.3999999999999986,21.1,2,1,lower,1
93861,44.6,57.75,63.35,84.35000000000001,85.2,40.6,5.600000000000001,21.85,2,1,lower,1
93862,44.800000000000004,54.25,59.5,90.30000000000001,91.15,46.35,5.25,31.650000000000006,4,1,upper,1
93865,45.0,55.75,64.75,86.9,87.75,42.75,9.0,23.0,4,1,upper,1
93866,45.25,60.7,78.2,106.45,107.30000000000001,62.05000000000001,17.5,29.10000000000001,1,1,lower,1
93868,45.45,58.25,71.75,103.9,104.75,59.3,13.5,33.0,4,1,upper,1
93869,45.650000000000006,55.25,63.0,91.15,92.0,46.349999999999994,7.75,29.0,4,1,upper,1
93871,45.900000000000006,58.25,65.15,86.05000000000001,86.9,41.0,6.900000000000006,21.75,2,1,lower,1
93873,46.1,59.2,72.95,104.75,105.60000000000001,59.50000000000001,13.75,32.650000000000006,1,1,lower,1
93874,46.300000000000004,56.400000000000006,56.400000000000006,72.4,73.25,26.949999999999996,0.0,16.849999999999994,0,0,lower,1
93876,46.550000000000004,57.400000000000006,68.65,95.4,96.25,49.699999999999996,11.25,27.599999999999994,5,1,upper,1
93879,46.75,55.300000000000004,61.6,88.60000000000001,89.45,42.7,6.299999999999997,27.85,5,1,upper,1
93880,46.95,57.25,61.6,82.65,83.5,36.55,4.350000000000001,21.9,2,1,lower,1
93882,47.2,56.2,62.45,85.2,86.05000000000001,38.85000000000001,6.25,23.60000000000001,1,1,lower,1
93883,47.400000000000006,61.300000000000004,62.0,79.25,80.10000000000001,32.7,0.6999999999999957,18.10000000000001,3,0,upper,1
93885,47.6,56.300000000000004,65.15,92.85000000000001,93.7,46.1,8.850000000000001,28.549999999999997,5,1,upper,1
93886,47.85,56.800000000000004,66.9,98.80000000000001,99.65,51.800000000000004,10.100000000000001,32.75,5,1,upper,1
93887,48.050000000000004,59.45,72.15,113.25,114.10000000000001,66.05000000000001,12.700000000000003,41.95,5,1,upper,1
93888,48.25,59.0,66.9,87.75,88.60000000000001,40.35000000000001,7.900000000000006,21.700000000000003,2,1,lower,1
93890,48.5,62.85,72.15,93.7,94.55000000000001,46.05000000000001,9.300000000000004,22.400000000000006,2,1,lower,1
93891,48.7,54.650000000000006,57.35,70.75,71.60000000000001,22.900000000000006,2.6999999999999957,14.250000000000007,6,0,upper,1
93895,48.900000000000006,63.1,63.1,79.25,80.10000000000001,31.200000000000003,0.0,17.000000000000007,0,0,lower,1
93897,49.150000000000006,57.25,68.25,93.7,94.55000000000001,45.400000000000006,11.0,26.30000000000001,4,1,upper,1
93898,49.35,58.95,70.4,100.5,101.35000000000001,52.00000000000001,11.450000000000003,30.950000000000003,5,1,upper,1
93900,49.550000000000004,58.7,71.2,97.10000000000001,97.95,48.4,12.5,26.75,1,1,lower,1
93901,49.800000000000004,65.85000000000001,82.65,105.60000000000001,106.45,56.65,16.799999999999997,23.799999999999997,2,1,lower,1
93903,50.0,60.2,76.45,102.2,103.05000000000001,53.05000000000001,16.25,26.60000000000001,1,1,lower,1
93904,50.2,57.75,70.0,99.65,100.5,50.3,12.25,30.5,4,1,upper,1
