time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,3,0,0
40.0,34,5,0,0
45.0,58,10,0,0
50.0,81,18,0,1
55.0,97,29,0,1
60.0,114,43,1,1
65.0,127,55,1,1
70.0,132,70,1,1
75.0,130,82,0,1
80.0,130,96,1,1
85.0,124,92,0,1
90.0,115,88,0,0
95.0,108,82,1,1
100.0,100,76,1,1
105.0,94,70,0,1
110.0,88,64,0,1
115.0,81,59,1,1
120.0,76,53,1,1
125.0,69,48,1,0
130.0,63,42,0,0
135.0,56,36,0,0
140.0,51,30,0,0
145.0,45,24,0,0
150.0,43,19,1,1
155.0,37,13,1,1
160.0,30,8,0,0
165.0,25,2,0,0
170.0,20,0,0,1
175.0,15,0,1,1
180.0,13,0,1,0
185.0,25,3,0,0
190.0,43,8,0,0
195.0,66,17,0,1
200.0,86,22,0,0
205.0,99,42,0,0
210.0,115,58,1,1
215.0,132,70,0,0
220.0,147,82,1,1
225.0,147,94,1,1
230.0,140,93,1,1
235.0,132,87,1,1
240.0,119,80,1,1
245.0,110,76,1,1
250.0,99,71,1,1
255.0,91,65,0,0
260.0,84,59,1,1
265.0,77,54,1,0
270.0,71,48,1,1
275.0,64,42,0,1
280.0,59,36,1,0
285.0,53,31,0,0
290.0,48,25,0,1
295.0,42,19,1,1
