time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,15,4,0,0
40.0,35,7,0,0
45.0,57,13,0,0
50.0,74,15,0,0
55.0,94,23,0,1
60.0,107,25,1,1
65.0,122,35,1,1
70.0,126,52,1,1
75.0,121,58,1,1
80.0,112,50,1,1
85.0,103,38,1,1
90.0,92,27,1,1
95.0,81,18,1,1
100.0,70,12,1,1
105.0,60,7,1,1
110.0,49,1,1,1
115.0,38,0,1,1
120.0,27,0,0,1
125.0,18,0,1,1
130.0,10,0,1,1
135.0,5,0,0,1
140.0,1,0,0,1
145.0,0,0,0,0
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,4,0,0,0
185.0,20,2,0,0
190.0,42,9,0,0
195.0,65,13,0,0
200.0,87,22,1,0
205.0,103,30,1,0
210.0,116,42,1,1
215.0,133,62,1,1
220.0,143,72,1,1
225.0,143,74,1,1
230.0,134,69,1,1
235.0,125,58,1,1
240.0,111,44,1,1
245.0,106,36,1,1
250.0,96,31,1,1
255.0,84,25,1,1
260.0,73,20,1,1
265.0,60,14,1,1
270.0,48,8,1,1
275.0,37,2,1,1
280.0,30,0,0,1
285.0,22,0,1,1
290.0,15,0,1,1
295.0,8,0,1,0
