time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,0,0,0
35.0,18,4,0,0
40.0,41,10,0,0
45.0,64,12,0,0
50.0,86,22,1,0
55.0,107,31,0,1
60.0,124,40,0,0
65.0,142,46,1,1
70.0,157,48,0,0
75.0,164,57,0,1
80.0,161,63,1,1
85.0,156,70,0,1
90.0,150,78,0,1
95.0,143,83,1,1
100.0,134,90,0,1
105.0,128,97,0,1
110.0,121,104,0,1
115.0,117,105,0,0
120.0,115,103,0,0
125.0,112,100,0,0
130.0,108,97,0,0
135.0,105,94,0,0
140.0,102,91,0,0
145.0,99,88,0,1
150.0,96,85,0,1
155.0,94,83,0,1
160.0,91,80,0,1
165.0,88,77,0,1
170.0,85,74,0,1
175.0,82,71,0,1
180.0,86,73,0,1
185.0,105,81,0,0
190.0,125,92,0,0
195.0,145,97,0,0
200.0,163,107,0,1
205.0,183,114,0,1
210.0,195,121,1,1
215.0,213,129,1,0
220.0,227,135,0,0
225.0,236,141,1,1
230.0,228,149,0,1
235.0,226,153,0,1
240.0,217,160,1,1
245.0,209,167,0,1
250.0,199,173,1,1
255.0,192,179,0,0
260.0,190,177,0,0
265.0,185,174,0,0
270.0,183,171,0,0
275.0,180,168,0,1
280.0,176,165,0,0
285.0,173,162,0,0
290.0,172,160,0,1
295.0,168,157,0,0
