agent_id,spawn_time,queue_enter_time,service_start_time,escalator_enter_time,sink_time,travel_time,gate_wait_time,post_gate_time,gate_idx,is_tagless,sink_side,serviced
46829,26.05,33.25,33.25,48.400000000000006,49.300000000000004,23.250000000000004,0.0,16.050000000000004,5,0,upper,1
46830,26.400000000000002,35.45,35.45,50.550000000000004,51.400000000000006,25.000000000000004,0.0,15.950000000000003,4,1,upper,1
46831,26.700000000000003,36.9,36.9,55.85,56.7,30.0,0.0,19.800000000000004,6,0,upper,1
46832,26.900000000000002,34.95,34.95,48.050000000000004,48.900000000000006,22.000000000000004,0.0,13.950000000000003,2,1,lower,1
46833,27.200000000000003,34.9,34.9,49.45,50.300000000000004,23.1,0.0,15.400000000000006,1,0,lower,1
46834,28.05,37.25,37.25,50.300000000000004,51.150000000000006,23.100000000000005,0.0,13.900000000000006,2,1,lower,1
46835,28.700000000000003,35.35,35.35,46.35,47.2,18.5,0.0,11.850000000000001,0,0,lower,1
46836,28.900000000000002,36.35,37.25,51.95,52.800000000000004,23.900000000000002,0.8999999999999986,15.550000000000004,4,1,upper,1
46837,29.8,42.050000000000004,44.25,61.75,62.6,32.8,2.1999999999999957,18.35,2,1,lower,1
46838,30.05,40.1,40.1,58.45,59.300000000000004,29.250000000000004,0.0,19.200000000000003,6,0,upper,1
46839,30.3,38.550000000000004,39.0,51.25,52.1,21.8,0.44999999999999574,13.100000000000001,2,1,lower,1
46840,30.5,38.95,38.95,56.75,57.6,27.1,0.0,18.65,5,0,upper,1
46841,30.700000000000003,39.95,40.75,60.150000000000006,61.050000000000004,30.35,0.7999999999999972,20.300000000000004,4,1,upper,1
46842,30.950000000000003,38.25,39.0,53.7,54.550000000000004,23.6,0.75,15.550000000000004,4,1,upper,1
46843,31.150000000000002,39.85,42.35,66.2,67.05,35.89999999999999,2.5,24.699999999999996,5,0,upper,1
46844,31.35,41.300000000000004,41.300000000000004,55.35,56.2,24.85,0.0,14.899999999999999,1,0,lower,1
46845,31.6,41.7,42.5,59.300000000000004,60.150000000000006,28.550000000000004,0.7999999999999972,17.650000000000006,4,1,upper,1
46846,31.8,40.150000000000006,40.150000000000006,52.650000000000006,53.550000000000004,21.750000000000004,0.0,13.399999999999999,0,0,lower,1
46847,32.0,43.45,46.0,63.650000000000006,64.5,32.5,2.549999999999997,18.5,4,1,upper,1
46848,32.25,42.300000000000004,42.300000000000004,57.6,58.45,26.200000000000003,0.0,16.15,3,0,upper,1
46849,32.5,39.0,40.75,53.550000000000004,54.400000000000006,21.900000000000006,1.75,13.650000000000006,2,1,lower,1
46850,32.7,41.550000000000004,42.5,54.5,55.35,22.65,0.9499999999999957,12.850000000000001,2,1,lower,1
46852,32.9,42.5,42.650000000000006,58.95,59.800000000000004,26.900000000000006,0.15000000000000568,17.15,0,0,lower,1
46853,33.15,43.1,47.75,64.5,65.35000000000001,32.20000000000001,4.649999999999999,17.60000000000001,2,1,lower,1
46855,33.35,40.1,40.1,55.0,55.85,22.5,0.0,15.75,3,0,upper,1
46856,33.6,44.300000000000004,45.1,60.2,61.050000000000004,27.450000000000003,0.7999999999999972,15.950000000000003,1,0,lower,1
46857,33.800000000000004,42.6,46.0,62.75,63.6,29.799999999999997,3.3999999999999986,17.6,2,1,lower,1
46858,34.15,42.45,44.25,61.900000000000006,62.800000000000004,28.650000000000006,1.7999999999999972,18.550000000000004,4,1,upper,1
46860,34.65,45.650000000000006,49.5,67.05,67.9,33.25000000000001,3.8499999999999943,18.400000000000006,4,1,upper,1
46861,34.9,43.7,49.5,66.60000000000001,67.45,32.550000000000004,5.799999999999997,17.950000000000003,2,1,lower,1
46862,35.1,45.95,45.95,67.9,68.75,33.65,0.0,22.799999999999997,3,0,upper,1
