time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,9,0,0,0
35.0,29,6,0,0
40.0,50,12,0,0
45.0,73,18,0,0
50.0,95,26,1,0
55.0,112,40,1,1
60.0,130,58,1,1
65.0,140,73,1,1
70.0,147,84,1,1
75.0,141,91,1,1
80.0,136,85,0,1
85.0,132,82,1,1
90.0,121,78,1,1
95.0,111,73,1,1
100.0,100,67,1,1
105.0,89,60,1,1
110.0,81,55,1,0
115.0,75,49,1,1
120.0,66,43,0,1
125.0,60,37,0,1
130.0,54,32,0,0
135.0,49,26,0,0
140.0,42,20,0,0
145.0,37,15,0,0
150.0,32,9,1,1
155.0,24,3,0,0
160.0,20,0,0,0
165.0,14,0,0,0
170.0,11,0,1,0
175.0,6,0,1,1
180.0,6,0,0,0
185.0,22,5,0,0
190.0,41,6,0,0
195.0,67,15,0,0
200.0,85,18,0,1
205.0,102,31,0,1
210.0,116,46,1,1
215.0,128,59,1,1
220.0,143,72,1,0
225.0,145,89,1,1
230.0,137,92,1,1
235.0,132,87,1,1
240.0,125,82,1,1
245.0,114,76,1,1
250.0,103,71,1,1
255.0,93,66,1,1
260.0,83,60,1,1
265.0,78,55,1,1
270.0,70,49,1,0
275.0,64,43,0,1
280.0,59,38,1,1
285.0,53,32,0,0
290.0,47,26,0,1
295.0,40,20,1,0
