agent_id,spawn_time,queue_enter_time,service_start_time,escalator_enter_time,sink_time,travel_time,gate_wait_time,post_gate_time,gate_idx,is_tagless,sink_side,serviced
81103,26.05,33.550000000000004,33.550000000000004,49.75,50.6,24.55,0.0,17.049999999999997,3,1,upper,1
81104,26.400000000000002,36.35,40.6,56.650000000000006,57.550000000000004,31.150000000000002,4.25,16.950000000000003,3,1,upper,1
81105,26.700000000000003,32.45,32.45,44.900000000000006,45.800000000000004,19.1,0.0,13.350000000000001,6,0,upper,1
81106,26.900000000000002,34.85,35.35,51.1,51.95,25.05,0.5,16.6,3,1,upper,1
81107,27.200000000000003,35.85,38.85,54.95,55.800000000000004,28.6,3.0,16.950000000000003,3,1,upper,1
81108,28.05,35.35,37.1,52.75,53.6,25.55,1.75,16.5,3,1,upper,1
81109,28.700000000000003,36.85,42.35,58.400000000000006,59.300000000000004,30.6,5.5,16.950000000000003,3,1,upper,1
81110,28.900000000000002,37.9,37.9,49.050000000000004,49.900000000000006,21.000000000000004,0.0,12.000000000000007,0,0,lower,1
81111,29.8,37.35,44.1,59.800000000000004,60.650000000000006,30.850000000000005,6.75,16.550000000000004,3,1,upper,1
81112,30.05,37.85,45.85,61.2,62.050000000000004,32.0,8.0,16.200000000000003,3,1,upper,1
81113,30.3,38.85,49.35,65.5,66.35000000000001,36.05000000000001,10.5,17.000000000000007,3,1,upper,1
81114,30.5,41.85,59.85,81.9,82.75,52.25,18.0,22.9,3,1,upper,1
81115,30.700000000000003,38.35,47.6,63.800000000000004,64.65,33.95,9.25,17.050000000000004,3,1,upper,1
81116,30.950000000000003,40.35,54.6,72.35000000000001,73.2,42.25,14.25,18.6,3,1,upper,1
81118,31.150000000000002,39.35,51.1,66.8,67.65,36.5,11.75,16.550000000000004,3,1,upper,1
81120,31.35,40.85,56.35,78.75,79.60000000000001,48.25000000000001,15.5,23.250000000000007,3,1,upper,1
81121,31.6,39.5,39.5,53.35,54.2,22.6,0.0,14.700000000000003,1,0,lower,1
81122,31.8,45.35,72.15,95.10000000000001,95.95,64.15,26.800000000000004,23.799999999999997,3,1,upper,1
81123,32.0,39.85,52.85,70.65,71.5,39.5,13.0,18.65,3,1,upper,1
81124,32.25,44.35,68.65,90.80000000000001,91.65,59.400000000000006,24.300000000000004,23.0,3,1,upper,1
81127,32.5,41.35,58.1,79.75,80.60000000000001,48.10000000000001,16.75,22.500000000000007,3,1,upper,1
81128,32.7,43.2,43.7,57.550000000000004,58.400000000000006,25.700000000000003,0.5,14.700000000000003,6,0,upper,1
81130,32.9,42.35,61.6,84.2,85.05000000000001,52.15000000000001,19.25,23.45000000000001,3,1,upper,1
81131,33.15,47.85,80.9,103.5,104.35000000000001,71.20000000000002,33.050000000000004,23.450000000000003,3,1,upper,1
