time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,5,0,0
40.0,34,5,0,0
45.0,58,10,0,0
50.0,78,15,1,0
55.0,95,22,0,1
60.0,108,35,0,1
65.0,123,48,0,1
70.0,132,69,1,1
75.0,126,75,1,1
80.0,118,65,0,1
85.0,113,53,1,1
90.0,103,47,1,1
95.0,92,38,0,1
100.0,83,30,1,1
105.0,72,22,1,1
110.0,63,13,1,1
115.0,53,4,1,1
120.0,46,0,0,1
125.0,38,0,1,1
130.0,30,0,1,1
135.0,20,0,0,1
140.0,12,0,1,1
145.0,5,0,0,1
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,4,0,0,0
185.0,21,3,0,0
190.0,43,7,0,0
195.0,66,16,1,0
200.0,85,20,0,1
205.0,104,28,1,0
210.0,115,46,1,1
215.0,129,69,0,1
220.0,141,81,1,1
225.0,141,85,1,1
230.0,132,73,1,1
235.0,123,63,1,1
240.0,113,54,1,1
245.0,105,48,1,1
250.0,93,40,1,1
255.0,81,31,0,1
260.0,74,23,0,1
265.0,64,14,0,1
270.0,57,6,1,1
275.0,50,1,1,1
280.0,42,0,1,1
285.0,33,0,1,1
290.0,23,0,0,1
295.0,16,0,1,1
