time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,9,0,0,0
35.0,29,7,0,0
40.0,49,11,0,0
45.0,75,21,0,0
50.0,95,30,0,0
55.0,111,52,1,1
60.0,123,71,0,1
65.0,139,93,1,1
70.0,148,101,1,1
75.0,140,93,1,1
80.0,135,86,1,1
85.0,131,81,1,1
90.0,124,74,1,1
95.0,113,65,1,1
100.0,105,58,1,1
105.0,96,49,1,1
110.0,85,40,0,1
115.0,77,31,1,1
120.0,69,23,0,1
125.0,63,15,0,1
130.0,52,6,0,1
135.0,44,0,0,1
140.0,37,0,1,1
145.0,28,0,1,1
150.0,19,0,0,1
155.0,11,0,0,1
160.0,6,0,0,1
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,6,0,0,0
185.0,21,3,0,0
190.0,43,8,0,0
195.0,65,16,1,0
200.0,87,22,1,1
205.0,104,31,1,1
210.0,117,57,1,1
215.0,130,73,1,0
220.0,146,87,1,1
225.0,145,88,1,1
230.0,136,75,1,1
235.0,131,67,1,1
240.0,123,61,1,1
245.0,116,54,1,1
250.0,103,45,1,1
255.0,92,37,1,1
260.0,79,29,1,1
265.0,68,20,1,1
270.0,59,11,0,1
275.0,52,3,1,1
280.0,44,0,0,1
285.0,37,0,1,1
290.0,28,0,1,1
295.0,19,0,0,1
