time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,16,3,0,0
40.0,34,6,0,0
45.0,58,12,0,0
50.0,81,16,0,1
55.0,98,28,0,1
60.0,113,42,1,1
65.0,126,58,1,1
70.0,130,74,1,1
75.0,127,78,1,1
80.0,120,77,1,1
85.0,115,72,1,1
90.0,105,67,1,1
95.0,94,62,1,1
100.0,82,56,1,1
105.0,74,50,1,1
110.0,67,44,1,0
115.0,61,38,1,1
120.0,56,33,1,1
125.0,51,27,0,1
130.0,45,22,1,1
135.0,38,16,1,0
140.0,32,10,1,1
145.0,27,4,0,1
150.0,21,0,0,0
155.0,17,0,0,0
160.0,11,0,0,0
165.0,6,0,0,0
170.0,1,0,0,0
175.0,0,0,0,0
180.0,4,1,0,0
185.0,21,4,0,0
190.0,44,10,0,0
195.0,68,18,0,0
200.0,87,30,1,1
205.0,101,49,0,1
210.0,117,63,1,0
215.0,136,77,1,0
220.0,147,87,1,1
225.0,147,100,1,1
230.0,139,92,1,1
235.0,131,88,1,1
240.0,118,82,1,1
245.0,109,79,1,1
250.0,99,73,1,1
255.0,92,68,1,0
260.0,84,62,0,1
265.0,79,57,0,1
270.0,74,51,0,1
275.0,66,45,0,1
280.0,62,39,0,1
285.0,56,34,0,1
290.0,49,28,0,0
295.0,45,22,1,0
