time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,1,0,0
35.0,23,2,0,0
40.0,43,8,0,0
45.0,64,13,0,0
50.0,88,21,0,1
55.0,104,32,1,1
60.0,117,38,1,1
65.0,131,50,1,1
70.0,142,63,1,0
75.0,150,82,1,1
80.0,141,89,1,1
85.0,129,79,0,1
90.0,124,68,1,1
95.0,111,57,1,1
100.0,98,44,1,1
105.0,85,32,1,1
110.0,77,20,1,1
115.0,64,6,1,1
120.0,56,1,1,1
125.0,47,0,1,1
130.0,35,0,1,1
135.0,23,0,1,1
140.0,13,0,1,1
145.0,6,0,0,1
150.0,0,0,0,0
155.0,0,0,0,0
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,8,0,0,0
185.0,22,2,0,0
190.0,40,9,0,0
195.0,66,17,0,0
200.0,89,24,0,1
205.0,102,29,1,0
210.0,119,36,1,1
215.0,130,45,1,1
220.0,141,55,1,1
225.0,141,71,1,1
230.0,133,75,1,1
235.0,127,68,1,1
240.0,114,57,0,1
245.0,107,46,1,1
250.0,96,34,1,1
255.0,84,23,1,1
260.0,73,10,1,1
265.0,65,1,1,1
270.0,54,0,1,1
275.0,43,0,1,1
280.0,31,0,1,1
285.0,20,0,0,1
290.0,14,0,0,1
295.0,8,0,0,1
