agent_id,spawn_time,queue_enter_time,service_start_time,escalator_enter_time,sink_time,travel_time,gate_wait_time,post_gate_time,gate_idx,is_tagless,sink_side,serviced
42064,26.05,33.4,33.4,48.95,49.800000000000004,23.750000000000004,0.0,16.400000000000006,4,0,upper,1
42065,26.400000000000002,35.2,36.6,52.300000000000004,53.150000000000006,26.750000000000004,1.3999999999999986,16.550000000000004,3,1,upper,1
42066,26.700000000000003,36.550000000000004,36.550000000000004,55.050000000000004,55.900000000000006,29.200000000000003,0.0,19.35,6,0,upper,1
42067,26.900000000000002,34.7,34.7,48.150000000000006,49.050000000000004,22.150000000000002,0.0,14.350000000000001,2,0,lower,1
42068,27.200000000000003,34.800000000000004,34.800000000000004,50.45,51.300000000000004,24.1,0.0,16.5,3,1,upper,1
42069,28.05,35.85,38.35,53.7,54.550000000000004,26.500000000000004,2.5,16.200000000000003,3,1,upper,1
42070,28.700000000000003,35.85,35.85,47.300000000000004,48.150000000000006,19.450000000000003,0.0,12.300000000000004,1,0,lower,1
42071,28.900000000000002,37.85,37.85,52.6,53.45,24.55,0.0,15.600000000000001,0,0,lower,1
42072,29.8,38.25,41.85,61.300000000000004,62.150000000000006,32.35000000000001,3.6000000000000014,20.300000000000004,3,1,upper,1
42074,30.05,38.550000000000004,38.550000000000004,57.0,57.85,27.8,0.0,19.299999999999997,5,0,upper,1
42075,30.3,40.050000000000004,47.1,65.2,66.05,35.75,7.049999999999997,18.949999999999996,3,1,upper,1
42076,30.5,37.65,40.1,57.85,58.7,28.200000000000003,2.450000000000003,18.6,3,1,upper,1
42077,30.700000000000003,39.050000000000004,43.6,62.400000000000006,63.300000000000004,32.6,4.549999999999997,19.700000000000003,3,1,upper,1
42078,30.950000000000003,39.550000000000004,45.35,64.35000000000001,65.2,34.25,5.799999999999997,19.85,3,1,upper,1
42079,31.150000000000002,39.5,39.95,59.550000000000004,60.400000000000006,29.250000000000004,0.45000000000000284,20.450000000000003,5,0,upper,1
42080,31.35,41.0,42.300000000000004,60.400000000000006,61.300000000000004,29.950000000000003,1.3000000000000043,19.0,6,0,upper,1
42081,31.6,42.050000000000004,54.1,74.55,75.4,43.800000000000004,12.049999999999997,21.300000000000004,3,1,upper,1
42082,31.8,39.85,39.85,51.45,52.300000000000004,20.500000000000004,0.0,12.450000000000003,1,0,lower,1
42083,32.0,45.2,45.2,56.650000000000006,57.550000000000004,25.550000000000004,0.0,12.350000000000001,0,0,lower,1
42085,32.25,41.050000000000004,50.6,70.3,71.15,38.900000000000006,9.549999999999997,20.550000000000004,3,1,upper,1
42087,32.5,41.900000000000006,41.900000000000006,55.900000000000006,56.800000000000004,24.300000000000004,0.0,14.899999999999999,4,0,upper,1
42088,32.7,40.900000000000006,40.900000000000006,58.35,59.2,26.5,0.0,18.299999999999997,2,0,lower,1
42089,32.9,44.550000000000004,62.85,85.60000000000001,86.45,53.550000000000004,18.299999999999997,23.6,3,1,upper,1
42091,33.15,40.1,40.1,58.7,59.550000000000004,26.400000000000006,0.0,19.450000000000003,6,0,upper,1
42092,33.35,43.550000000000004,59.35,80.5,81.35000000000001,48.00000000000001,15.799999999999997,22.000000000000007,3,1,upper,1
42094,33.6,40.550000000000004,48.85,68.60000000000001,69.45,35.85,8.299999999999997,20.6,3,1,upper,1
42095,33.800000000000004,43.050000000000004,57.6,78.80000000000001,79.65,45.85,14.549999999999997,22.050000000000004,3,1,upper,1
42096,34.15,46.050000000000004,68.15,94.10000000000001,94.95,60.800000000000004,22.1,26.799999999999997,3,1,upper,1
42098,34.65,42.550000000000004,55.85,75.4,76.25,41.6,13.299999999999997,20.4,3,1,upper,1
42101,34.9,44.050000000000004,61.1,83.05000000000001,83.9,49.00000000000001,17.049999999999997,22.800000000000004,3,1,upper,1
42102,35.1,48.550000000000004,76.9,107.7,108.55000000000001,73.45000000000002,28.35,31.650000000000006,3,1,upper,1
42103,35.300000000000004,45.050000000000004,64.65,86.45,87.30000000000001,52.00000000000001,19.6,22.650000000000006,3,1,upper,1
42104,35.550000000000004,60.550000000000004,118.9,,,,58.35,,3,1,,0
42105,35.75,47.050000000000004,71.65,98.35000000000001,99.2,63.45,24.6,27.549999999999997,3,1,upper,1
42106,36.050000000000004,74.10000000000001,166.25,189.15,190.0,153.95,92.14999999999999,23.75,3,1,upper,1
42111,36.35,41.550000000000004,52.35,72.85000000000001,73.7,37.35,10.799999999999997,21.35,3,1,upper,1
42112,36.6,47.550000000000004,73.4,100.9,101.75,65.15,25.85,28.349999999999994,3,1,upper,1
42113,36.800000000000004,50.300000000000004,51.0,69.45,70.3,33.49999999999999,0.6999999999999957,19.299999999999997,5,0,upper,1
42114,37.0,45.550000000000004,66.4,87.30000000000001,88.15,51.150000000000006,20.85,21.75,3,1,upper,1
42115,37.25,81.10000000000001,190.75,214.15,215.0,177.75,109.64999999999999,24.25,3,1,upper,1
42118,37.45,48.650000000000006,48.650000000000006,68.05,68.9,31.450000000000003,0.0,20.25,2,0,lower,1
42119,37.65,78.10000000000001,180.25,201.35000000000002,202.20000000000002,164.55,102.14999999999999,21.950000000000017,3,1,upper,1
42121,37.9,53.650000000000006,54.45,77.95,78.80000000000001,40.90000000000001,0.7999999999999972,24.35000000000001,4,0,upper,1
42124,38.1,50.050000000000004,82.15,111.95,112.80000000000001,74.70000000000002,32.1,30.650000000000006,3,1,upper,1
42126,38.300000000000004,49.050000000000004,78.65,109.4,110.25,71.94999999999999,29.6,31.599999999999994,3,1,upper,1
42127,38.550000000000004,48.5,48.5,66.05,66.9,28.35,0.0,18.400000000000006,6,0,upper,1
42128,38.75,50.800000000000004,55.25,73.7,74.55,35.8,4.449999999999996,19.299999999999997,5,0,upper,1
42131,38.95,48.050000000000004,75.15,102.60000000000001,103.45,64.5,27.1,28.299999999999997,3,1,upper,1
42133,39.2,46.550000000000004,69.9,95.80000000000001,96.65,57.45,23.35,26.75,3,1,upper,1
42134,39.400000000000006,49.550000000000004,80.4,112.80000000000001,113.65,74.25,30.85,33.25,3,1,upper,1
42139,39.6,62.050000000000004,124.15,149.3,150.15,110.55000000000001,62.1,26.0,3,1,upper,1
42143,39.85,83.10000000000001,197.75,221.10000000000002,221.95000000000002,182.10000000000002,114.64999999999999,24.200000000000017,3,1,upper,1
42144,40.050000000000004,61.050000000000004,120.65,146.35,147.20000000000002,107.15,59.6,26.55000000000001,3,1,upper,1
42145,40.25,59.050000000000004,113.65,140.9,141.75,101.5,54.6,28.099999999999994,3,1,upper,1
42146,40.5,53.25,54.75,69.15,70.0,29.5,1.5,15.25,1,0,lower,1
42147,40.7,67.10000000000001,141.75,166.35000000000002,167.20000000000002,126.50000000000001,74.64999999999999,25.450000000000017,3,1,upper,1
42150,40.900000000000006,52.300000000000004,52.300000000000004,64.8,65.65,24.75,0.0,13.350000000000001,1,0,lower,1
42152,41.150000000000006,46.75,46.75,63.5,64.35000000000001,23.200000000000003,0.0,17.60000000000001,5,0,upper,1
42154,41.35,61.550000000000004,122.4,147.9,148.75,107.4,60.85,26.349999999999994,3,1,upper,1
42155,41.550000000000004,52.050000000000004,52.050000000000004,66.5,67.35000000000001,25.800000000000004,0.0,15.300000000000004,0,0,lower,1
42157,41.800000000000004,66.10000000000001,138.25,161.15,162.0,120.19999999999999,72.14999999999999,23.75,3,1,upper,1
42158,42.0,53.550000000000004,94.4,124.7,125.55000000000001,83.55000000000001,40.85,31.150000000000006,3,1,upper,1
42159,42.2,55.45,55.45,70.55,71.4,29.200000000000003,0.0,15.950000000000003,2,0,lower,1
42160,42.400000000000006,63.550000000000004,129.45000000000002,154.20000000000002,155.05,112.65,65.9,25.599999999999994,3,1,upper,1
42161,42.650000000000006,54.550000000000004,97.9,127.2,128.05,85.4,43.35,30.150000000000006,3,1,upper,1
42162,42.85,77.60000000000001,178.5,200.25,201.10000000000002,158.25000000000003,100.89999999999999,22.600000000000023,3,1,upper,1
42165,43.050000000000004,54.050000000000004,96.15,125.7,126.55000000000001,83.5,42.1,30.400000000000006,3,1,upper,1
42168,43.300000000000004,50.900000000000006,51.050000000000004,66.9,67.75,24.449999999999996,0.14999999999999858,16.699999999999996,6,0,upper,1
42170,43.5,59.550000000000004,115.4,142.6,143.45000000000002,99.95000000000002,55.85,28.05000000000001,3,1,upper,1
42171,43.7,64.10000000000001,131.25,155.95000000000002,156.8,113.10000000000001,67.14999999999999,25.55000000000001,3,1,upper,1
42173,43.95,60.050000000000004,117.15,144.0,144.85,100.89999999999999,57.1,27.69999999999999,3,1,upper,1
42175,44.150000000000006,58.300000000000004,58.300000000000004,76.75,77.60000000000001,33.45,0.0,19.300000000000004,0,0,lower,1
42179,44.35,50.550000000000004,83.9,116.2,117.05000000000001,72.70000000000002,33.35,33.150000000000006,3,1,upper,1
42182,44.6,54.150000000000006,56.400000000000006,84.75,85.60000000000001,41.00000000000001,2.25,29.200000000000003,4,0,upper,1
42183,44.800000000000004,60.2,61.95,80.05000000000001,80.9,36.1,1.75,18.950000000000003,2,0,lower,1
42185,45.0,52.85,56.7,76.25,77.10000000000001,32.10000000000001,3.8500000000000014,20.400000000000006,5,0,upper,1
42187,45.25,53.5,53.5,67.75,68.60000000000001,23.35000000000001,0.0,15.100000000000009,6,0,upper,1
42188,45.45,59.95,62.0,79.2,80.05000000000001,34.60000000000001,2.049999999999997,18.05000000000001,0,0,lower,1
42190,45.650000000000006,57.150000000000006,58.150000000000006,71.4,72.25,26.599999999999994,1.0,14.099999999999994,1,0,lower,1
42191,45.900000000000006,55.650000000000006,58.050000000000004,72.25,73.10000000000001,27.200000000000003,2.3999999999999986,15.050000000000004,2,0,lower,1
42194,46.1,52.050000000000004,89.15,121.30000000000001,122.15,76.05000000000001,37.1,33.0,3,1,upper,1
42199,46.300000000000004,52.400000000000006,52.400000000000006,72.0,72.85000000000001,26.550000000000004,0.0,20.450000000000003,4,0,upper,1
42200,46.550000000000004,61.150000000000006,64.7,82.60000000000001,83.45,36.9,3.549999999999997,18.75,2,0,lower,1
42202,46.75,56.7,59.050000000000004,77.10000000000001,77.95,31.200000000000003,2.3500000000000014,18.9,6,0,upper,1
42205,46.95,58.050000000000004,110.15,137.55,138.4,91.45,52.1,28.25,3,1,upper,1
42206,47.2,54.650000000000006,56.2,71.15,72.0,24.799999999999997,1.5499999999999972,15.799999999999997,6,0,upper,1
42212,47.550000000000004,65.65,69.10000000000001,86.0,86.85000000000001,39.300000000000004,3.450000000000003,17.75,0,0,lower,1
42213,47.6,62.25,63.35,81.35000000000001,82.2,34.6,1.1000000000000014,18.85,6,0,upper,1
42215,47.85,51.550000000000004,87.4,120.45,121.30000000000001,73.45000000000002,35.85,33.900000000000006,3,1,upper,1
42216,48.050000000000004,57.800000000000004,59.0,89.0,89.85000000000001,41.800000000000004,1.1999999999999957,30.85000000000001,4,0,upper,1
42217,48.25,58.550000000000004,111.9,139.15,140.0,91.75,53.35,28.099999999999994,3,1,upper,1
42219,48.5,84.60000000000001,203.0,227.05,227.9,179.4,118.39999999999999,24.900000000000006,3,1,upper,1
42220,48.7,55.900000000000006,58.400000000000006,79.65,80.5,31.799999999999997,2.5,22.099999999999994,5,0,upper,1
42226,49.050000000000004,63.050000000000004,127.65,152.70000000000002,153.55,104.5,64.6,25.900000000000006,3,1,upper,1
42227,49.150000000000006,64.60000000000001,133.0,157.55,158.4,109.25,68.39999999999999,25.400000000000006,3,1,upper,1
42228,49.35,57.650000000000006,60.400000000000006,82.2,83.05000000000001,33.70000000000001,2.75,22.650000000000006,5,0,upper,1
42231,49.550000000000004,52.550000000000004,90.9,123.0,123.85000000000001,74.30000000000001,38.35,32.95,3,1,upper,1
42232,49.800000000000004,65.60000000000001,136.5,,,,70.89999999999999,,3,1,,0
42234,50.0,53.050000000000004,92.65,123.85000000000001,124.7,74.7,39.6,32.05,3,1,upper,1
42238,50.2,61.6,62.6,75.3,76.15,25.950000000000003,1.0,13.550000000000004,1,0,lower,1
42239,50.400000000000006,60.0,61.0,73.10000000000001,73.95,23.549999999999997,1.0,12.950000000000003,1,0,lower,1
42242,50.650000000000006,59.75,62.0,89.85000000000001,90.7,40.05,2.25,28.700000000000003,5,0,upper,1
42247,50.85,51.050000000000004,85.65,119.60000000000001,120.45,69.6,34.6,34.8,3,1,upper,1
42250,51.050000000000004,61.650000000000006,68.95,86.85000000000001,87.7,36.65,7.299999999999997,18.75,2,0,lower,1
42253,51.300000000000004,57.150000000000006,59.45,73.95,74.8,23.499999999999993,2.299999999999997,15.349999999999994,2,0,lower,1
42254,51.5,63.650000000000006,66.0,93.25,94.10000000000001,42.60000000000001,2.3499999999999943,28.10000000000001,4,0,upper,1
42255,51.7,63.300000000000004,64.75,80.9,81.75,30.049999999999997,1.4499999999999957,17.0,1,0,lower,1
42258,51.95,65.10000000000001,134.75,159.10000000000002,159.95000000000002,108.00000000000001,69.64999999999999,25.200000000000017,3,1,upper,1
42259,52.150000000000006,56.050000000000004,103.15,131.65,132.5,80.35,47.1,29.349999999999994,3,1,upper,1
42260,52.35,66.60000000000001,140.0,164.8,165.65,113.30000000000001,73.39999999999999,25.650000000000006,3,1,upper,1
42261,52.6,59.7,59.900000000000006,77.9,78.75,26.15,0.20000000000000284,18.849999999999994,0,0,lower,1
42262,52.800000000000004,64.60000000000001,65.75,88.15,89.0,36.199999999999996,1.1499999999999915,23.25,6,0,upper,1
42263,53.0,65.85000000000001,72.45,97.5,98.35000000000001,45.35000000000001,6.599999999999994,25.900000000000006,4,0,upper,1
42267,53.25,87.60000000000001,213.5,238.10000000000002,238.95000000000002,185.70000000000002,125.89999999999999,25.450000000000017,3,1,upper,1
42268,53.45,65.7,71.7,100.05000000000001,100.9,47.45,6.0,29.200000000000003,6,0,upper,1
42270,53.650000000000006,63.300000000000004,63.300000000000004,92.4,93.25,39.599999999999994,0.0,29.949999999999996,4,0,upper,1
42271,53.900000000000006,68.10000000000001,145.25,169.75,170.60000000000002,116.70000000000002,77.14999999999999,25.350000000000023,3,1,upper,1
