time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,0,0,0
35.0,18,5,0,0
40.0,36,5,0,0
45.0,61,10,0,0
50.0,81,17,1,0
55.0,98,25,0,1
60.0,113,29,0,1
65.0,128,39,1,1
70.0,141,46,1,1
75.0,144,65,1,1
80.0,138,70,1,1
85.0,129,64,1,1
90.0,119,52,1,1
95.0,110,43,1,1
100.0,98,31,1,1
105.0,86,20,1,1
110.0,77,10,1,1
115.0,67,1,1,1
120.0,56,0,1,1
125.0,46,0,1,1
130.0,34,0,1,1
135.0,25,0,0,1
140.0,19,0,0,1
145.0,13,0,0,1
150.0,7,0,0,1
155.0,1,0,0,1
160.0,0,0,0,0
165.0,0,0,0,0
170.0,0,0,0,0
175.0,0,0,0,0
180.0,7,0,0,0
185.0,28,5,0,0
190.0,47,9,0,0
195.0,70,20,0,0
200.0,92,27,1,1
205.0,107,37,1,0
210.0,119,50,1,0
215.0,133,59,0,1
220.0,148,78,1,1
225.0,154,101,0,1
230.0,149,92,1,1
235.0,141,85,1,1
240.0,131,75,1,1
245.0,120,66,1,1
250.0,107,53,1,1
255.0,97,43,1,1
260.0,86,33,1,1
265.0,73,21,1,1
270.0,63,10,1,1
275.0,56,3,1,1
280.0,44,0,1,1
285.0,33,0,1,1
290.0,21,0,1,1
295.0,11,0,1,1
