time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,9,0,0,0
35.0,29,6,0,0
40.0,50,12,0,0
45.0,74,21,0,0
50.0,93,33,1,0
55.0,109,44,1,1
60.0,128,60,1,1
65.0,144,75,1,1
70.0,154,90,1,1
75.0,145,103,1,1
80.0,140,99,1,1
85.0,133,97,1,1
90.0,122,91,1,1
95.0,114,86,1,1
100.0,105,81,0,1
105.0,98,75,0,1
110.0,93,70,0,1
115.0,86,64,0,1
120.0,81,58,1,1
125.0,73,52,1,0
130.0,70,47,1,0
135.0,66,41,1,1
140.0,58,35,0,0
145.0,54,30,1,1
150.0,47,24,0,1
155.0,41,18,1,1
160.0,34,12,0,0
165.0,29,7,0,0
170.0,23,1,0,1
175.0,18,0,1,0
180.0,18,0,0,0
185.0,30,5,0,0
190.0,47,9,0,1
195.0,67,19,0,0
200.0,89,29,1,0
205.0,108,41,1,1
210.0,121,58,1,0
215.0,137,73,1,1
220.0,152,85,0,1
225.0,157,98,1,1
230.0,154,112,0,1
235.0,146,114,1,1
240.0,140,109,1,0
245.0,130,103,1,0
250.0,124,98,1,1
255.0,117,93,1,0
260.0,110,87,0,0
265.0,103,81,0,1
270.0,99,76,0,1
275.0,93,70,1,0
280.0,86,64,0,1
285.0,80,58,1,1
290.0,74,53,1,0
295.0,69,47,1,1
