time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,1,0,0,0
30.0,5,0,0,0
35.0,24,2,0,0
40.0,48,12,0,0
45.0,69,24,0,0
50.0,91,44,0,0
55.0,111,64,0,1
60.0,125,86,0,1
65.0,143,113,1,1
70.0,158,129,1,0
75.0,170,143,1,1
80.0,169,140,0,1
85.0,164,135,0,1
90.0,154,132,0,1
95.0,153,128,1,1
100.0,143,122,1,1
105.0,136,116,1,1
110.0,128,110,0,1
115.0,120,103,0,1
120.0,115,97,0,0
125.0,106,90,1,0
130.0,101,84,0,0
135.0,98,78,1,0
140.0,92,73,0,1
145.0,85,66,0,1
150.0,82,60,0,1
155.0,74,55,1,0
160.0,69,50,1,1
165.0,59,42,0,1
170.0,54,36,0,0
175.0,50,31,0,1
180.0,47,25,0,1
185.0,57,25,0,0
190.0,72,32,0,0
195.0,89,41,0,0
200.0,104,62,0,1
205.0,120,85,1,1
210.0,132,104,0,1
215.0,152,127,1,1
220.0,166,143,0,1
225.0,179,158,0,1
230.0,178,158,0,1
235.0,179,155,0,1
240.0,171,148,1,0
245.0,163,142,0,1
250.0,155,136,1,1
255.0,147,130,0,1
260.0,141,123,0,1
265.0,134,118,1,0
270.0,127,113,0,0
275.0,121,106,0,1
280.0,119,100,1,1
285.0,114,93,1,0
290.0,107,87,1,1
295.0,101,81,0,0
