scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,avg_esc_wait_precise,p95_esc_wait_precise,n_esc_precise,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3a_avg_density,zone3a_max_density,zone3b_avg_density,zone3b_max_density,zone3c_avg_density,zone3c_max_density,zone4a_avg_density,zone4a_max_density,zone4b_avg_density,zone4b_max_density,zone4c_avg_density,zone4c_max_density
p20_cfg2_s44,0.2,2,44,807,783,50.018758344459286,77.52000000000001,749,21.38174300254453,58.700000000000045,23.30781041388519,30.680000000000007,18.97027925531916,26.134999999999984,752,318,431,0.42456608811748997,0.05334666666666667,0.1344,1.138095238095238,4.535714285714286,0.3673611111111111,1.0416666666666667,0.11666666666666665,0.8333333333333334,0.029444444444444443,0.06666666666666667,0.5104166666666666,1.1666666666666667,0.40972222222222227,1.6666666666666667,0.04083333333333334,0.06666666666666667
p20_cfg2_s42,0.2,2,42,794,794,51.7666454891995,81.94000000000001,787,22.125440806045336,58.26749999999999,22.659339263024147,28.285000000000004,18.35354879594424,23.79999999999999,789,342,445,0.43456162642947904,0.052593333333333325,0.1312,1.1071428571428572,3.7142857142857144,0.37986111111111115,0.9166666666666666,0.11666666666666665,0.8333333333333334,0.03444444444444445,0.06666666666666667,0.5118055555555555,1.0833333333333333,0.34861111111111115,1.5,0.043055555555555555,0.06666666666666667
p20_cfg2_s43,0.2,2,43,823,823,54.400868486352365,84.85,806,24.477278250303762,60.745,23.577357320099267,31.187499999999986,19.255377008652665,26.730000000000004,809,343,463,0.42555831265508687,0.057666666666666665,0.1312,1.2556547619047618,3.9285714285714284,0.40138888888888885,0.9166666666666666,0.10972222222222222,0.6666666666666666,0.032777777777777774,0.06666666666666667,0.548611111111111,1.125,0.48194444444444445,1.8333333333333333,0.04472222222222222,0.06666666666666667
p20_cfg2_s45,0.2,2,45,857,850,53.215238678090586,81.62,817,23.98200468933177,61.430000000000014,23.94302325581396,31.609999999999975,19.65341463414635,27.30250000000001,820,349,468,0.42717258261933905,0.05936,0.1344,1.2919642857142857,4.0,0.40381944444444445,0.9583333333333334,0.12916666666666668,0.8333333333333334,0.03222222222222222,0.06666666666666667,0.5638888888888889,1.1666666666666667,0.5472222222222222,1.8333333333333333,0.045000000000000005,0.06666666666666667
p20_cfg2_s46,0.2,2,46,811,807,52.93080872913993,86.55999999999997,779,23.45852904820766,63.88,23.700641848523755,31.10000000000001,19.358823529411772,27.147499999999976,782,330,449,0.42362002567394097,0.05552000000000001,0.1344,1.1946428571428573,3.8214285714285716,0.38645833333333335,1.0,0.125,1.1666666666666667,0.03222222222222222,0.06666666666666667,0.5184027777777778,1.125,0.5222222222222223,1.8333333333333333,0.042499999999999996,0.06666666666666667
