[2026-04-18 14:27:47] 전체 모드: 100 시나리오
[2026-04-18 14:34:03] [31/100] p30_cfg3_s42: OK (5.4s, spawn=417, pass=417)
[2026-04-18 14:34:03] [32/100] p30_cfg3_s43: 시작 (p=0.3, cfg=3, seed=43)
[2026-04-18 14:34:08] [32/100] p30_cfg3_s43: OK (5.2s, spawn=426, pass=426)
[2026-04-18 14:34:08] [33/100] p30_cfg3_s44: 시작 (p=0.3, cfg=3, seed=44)
[2026-04-18 14:34:13] [33/100] p30_cfg3_s44: OK (4.5s, spawn=382, pass=382)
[2026-04-18 14:34:13] [34/100] p30_cfg3_s45: 시작 (p=0.3, cfg=3, seed=45)
[2026-04-18 14:34:18] [34/100] p30_cfg3_s45: OK (4.9s, spawn=413, pass=413)
[2026-04-18 14:34:18] [35/100] p30_cfg3_s46: 시작 (p=0.3, cfg=3, seed=46)
[2026-04-18 14:34:23] [35/100] p30_cfg3_s46: OK (5.1s, spawn=434, pass=434)
[2026-04-18 14:34:23] [36/100] p30_cfg4_s42: 시작 (p=0.3, cfg=4, seed=42)
[2026-04-18 14:34:27] [36/100] p30_cfg4_s42: OK (4.4s, spawn=417, pass=409)
[2026-04-18 14:34:27] [37/100] p30_cfg4_s43: 시작 (p=0.3, cfg=4, seed=43)
[2026-04-18 14:34:32] [37/100] p30_cfg4_s43: OK (4.4s, spawn=426, pass=417)
[2026-04-18 14:34:32] [38/100] p30_cfg4_s44: 시작 (p=0.3, cfg=4, seed=44)
[2026-04-18 14:34:36] [38/100] p30_cfg4_s44: OK (3.9s, spawn=382, pass=366)
[2026-04-18 14:34:36] [39/100] p30_cfg4_s45: 시작 (p=0.3, cfg=4, seed=45)
[2026-04-18 14:34:40] [39/100] p30_cfg4_s45: OK (4.1s, spawn=413, pass=402)
[2026-04-18 14:34:40] [40/100] p30_cfg4_s46: 시작 (p=0.3, cfg=4, seed=46)
[2026-04-18 14:34:45] [40/100] p30_cfg4_s46: OK (4.6s, spawn=434, pass=420)
[2026-04-18 14:34:45] [41/100] p50_cfg1_s42: 시작 (p=0.5, cfg=1, seed=42)
[2026-04-18 14:34:50] [41/100] p50_cfg1_s42: OK (5.0s, spawn=417, pass=355)
[2026-04-18 14:34:50] [42/100] p50_cfg1_s43: 시작 (p=0.5, cfg=1, seed=43)
