time,track_id,direction,vtype,bbox_height,cx,cy,zone
15:58:38,2,Downward,Truck_L,436,316,852,1
15:58:40,1,Downward,Car,222,689,901,0
15:58:45,2,Downward,Car,216,706,884,0
15:58:47,2,Downward,Car,241,686,861,0
15:58:50,1,Upward,Car,129,1233,811,0
15:58:50,2,Downward,Car,206,475,871,1
15:58:52,1,Downward,Car,214,681,901,0
15:59:09,1,Downward,Truck_L,405,375,870,0
15:59:55,1,Downward,Truck_L,439,297,850,0
16:00:14,2,Downward,Car,246,656,903,1
16:00:16,2,Downward,Truck_S,217,663,900,0
16:00:17,1,Downward,Car,188,489,868,0
16:00:21,1,Downward,Car,272,661,884,0
16:00:24,1,Downward,Car,222,487,852,0
16:00:28,1,Upward,Car,163,1093,847,0
16:00:30,1,Upward,Car,149,1268,842,0
16:00:38,1,Upward,Car,138,1095,810,0
16:00:38,2,Downward,Truck_S,206,480,856,0
16:00:39,1,Downward,Truck_S,238,358,957,0
16:00:39,4,Upward,Car,162,1116,849,0
16:00:41,1,Upward,Car,136,1073,825,0
16:00:41,1,Upward,Car,191,1345,840,0
16:00:46,1,Upward,Car,157,1300,849,0
16:00:46,1,Upward,Car,130,1081,836,0
16:00:47,1,Upward,Car,123,1085,814,0
16:00:48,1,Upward,Car,117,1075,819,0
16:00:48,6,Upward,Truck_S,122,1230,775,0
16:00:52,1,Upward,Car,213,1102,819,0
16:00:54,1,Downward,Car,203,679,873,1
16:00:55,1,Upward,Truck_L,423,1361,835,0
16:00:56,1,Upward,Truck_S,235,1216,676,0
16:00:57,2,Downward,Car,184,499,856,0
16:00:58,1,Downward,Car,195,343,979,0
16:00:58,1,Upward,Car,143,1085,827,0
16:00:59,1,Upward,Car,149,1049,833,0
16:01:01,1,Downward,Car,219,453,901,0
16:01:03,4,Upward,Truck_S,135,1272,833,0
16:01:05,1,Upward,Car,138,1051,814,0
16:01:07,1,Upward,Truck_S,201,1304,839,0
16:01:09,1,Upward,Car,138,1271,837,0
16:01:16,1,Downward,Truck_L,305,674,858,0
16:01:18,3,Downward,Truck_L,427,323,859,0
