time,track_id,direction,vtype,bbox_height,cx,cy,zone
07:00:41,1,Upward,Car,160,1076,809,0
07:00:43,1,Upward,Car,153,1110,807,0
07:00:49,1,Downward,Car,238,394,894,1
07:00:49,3,Upward,Car,252,1091,845,0
07:00:50,1,Downward,Car,244,385,889,0
07:00:51,1,Upward,Car,213,1114,799,0
07:00:57,1,Downward,Car,224,683,854,0
07:00:59,1,Upward,Truck_S,249,1336,845,0
07:01:04,1,Downward,Car,277,413,903,0
07:01:05,1,Downward,Car,249,708,899,0
07:01:06,1,Downward,Car,244,413,872,0
07:01:08,1,Downward,Car,232,672,865,0
07:01:09,1,Downward,Car,213,671,850,0
07:01:11,1,Downward,Car,289,411,867,0
07:01:12,1,Downward,Car,229,695,868,0
07:01:14,1,Downward,Car,277,660,893,0
07:01:18,1,Downward,Truck_L,352,374,865,0
07:01:18,5,Downward,Truck_S,190,236,980,1
07:01:18,5,Upward,Truck_L,682,897,730,0
07:01:18,1,Downward,Car,271,679,897,0
07:01:20,1,Downward,Car,226,692,868,0
07:01:21,1,Downward,Car,255,441,895,0
07:01:21,1,Downward,Car,237,715,885,0
07:01:22,1,Downward,Car,218,714,851,0
07:01:23,1,Downward,Car,267,404,850,0
07:01:27,1,Downward,Car,270,668,897,0
07:01:36,1,Downward,Car,365,256,889,0
07:01:57,1,Downward,Car,233,440,874,0
07:02:13,2,Upward,Truck_S,156,1312,792,0
07:02:56,1,Downward,Car,295,415,896,0
07:02:58,1,Downward,Car,233,658,857,0
07:02:59,1,Downward,Car,226,441,874,0
07:03:01,1,Downward,Car,254,657,871,0
07:03:12,1,Upward,Car,146,1267,811,0
07:03:14,5,Upward,Truck_S,133,1030,730,0
07:03:14,1,Downward,Car,283,649,902,0
07:03:15,1,Upward,Truck_S,209,1317,805,0
07:03:17,2,Downward,Truck_L,386,240,878,1
07:03:20,1,Upward,Car,198,1290,828,0
07:03:22,1,Downward,Car,264,660,874,0
07:03:24,1,Downward,Car,224,691,866,0
07:03:26,2,Downward,Car,227,397,874,0
07:03:29,1,Downward,Car,237,427,856,0
07:03:33,2,Upward,Car,228,1101,823,0
07:03:33,1,Downward,Car,241,688,852,0
07:03:39,1,Downward,Car,228,419,872,0
07:03:39,2,Downward,Car,227,687,870,0
07:03:41,1,Downward,Car,212,641,856,0
07:03:43,1,Downward,Car,260,709,919,0
07:03:43,1,Downward,Truck_L,422,363,859,0
07:03:45,1,Downward,Car,327,676,906,0
07:03:46,1,Downward,Car,219,665,853,0
07:04:01,4,Upward,Truck_L,674,897,735,0
07:04:01,1,Upward,Truck_S,244,1397,845,0
07:04:02,1,Upward,Truck_S,102,1120,595,0
07:04:03,3,Downward,Truck_S,266,401,894,1
07:04:09,1,Downward,Car,212,417,854,0
