time,track_id,direction,vtype,bbox_height,cx,cy,zone
11:06:05,1,Downward,Car,218,646,878,0
11:06:06,2,Upward,Car,141,1214,816,1
11:06:10,2,Downward,Car,278,624,887,1
11:06:14,2,Downward,Car,221,664,875,0
11:06:14,1,Downward,Truck_L,377,330,879,0
11:06:15,1,Downward,Car,208,642,855,0
11:06:20,4,Downward,Car,191,444,861,1
11:06:20,2,Downward,Car,186,306,984,0
11:06:20,2,Downward,Car,197,647,860,0
11:06:21,1,Downward,Car,244,396,876,0
11:06:22,1,Downward,Truck_L,356,402,857,0
11:06:22,4,Downward,Car,268,616,895,0
11:06:25,1,Downward,Car,186,423,854,0
11:06:35,1,Downward,Car,420,353,864,0
11:06:35,2,Downward,Truck_L,301,228,923,1
11:06:38,1,Downward,Truck_L,433,234,854,0
11:06:44,1,Upward,Car,134,1017,812,0
11:07:43,1,Downward,Car,193,640,857,0
11:07:49,1,Downward,Car,236,618,888,0
11:07:51,1,Downward,Car,227,637,904,0
11:07:52,1,Downward,Car,194,405,864,0
11:07:53,1,Downward,Car,203,637,853,0
11:07:54,1,Upward,Car,245,1025,840,0
11:07:54,1,Downward,Car,201,265,977,0
11:07:56,1,Downward,Car,213,654,884,0
11:07:58,2,Upward,Car,141,1199,833,0
11:08:00,1,Upward,Car,147,998,834,0
11:08:03,1,Upward,Car,162,1005,827,0
11:08:07,1,Downward,Car,213,564,872,0
11:08:09,2,Upward,Car,281,1304,828,0
11:08:10,3,Downward,Bus,436,250,851,1
11:08:11,1,Downward,Truck_S,216,645,865,0
11:08:12,1,Downward,Car,235,396,879,0
11:08:13,1,Upward,Car,401,1293,833,0
11:08:14,2,Upward,Truck_S,119,1000,567,0
11:08:15,1,Downward,Car,225,658,868,0
11:08:19,2,Upward,Truck_S,179,1074,825,0
11:08:20,1,Downward,Truck_L,318,349,851,0
11:08:21,1,Downward,Car,279,640,893,0
11:08:23,1,Downward,Car,208,650,885,0
11:08:24,1,Upward,Car,150,1016,848,0
11:08:28,1,Upward,Car,119,1197,828,0
11:08:29,1,Upward,Truck_S,206,1017,836,0
11:08:31,1,Upward,Truck_L,382,1328,836,0
11:08:32,2,Upward,Truck_S,173,1082,629,0
11:08:36,1,Upward,Truck_S,150,1013,839,0
11:08:38,2,Downward,Car,218,630,885,0
11:08:43,1,Downward,Car,191,612,858,0
11:08:55,1,Downward,Car,247,612,884,0
11:08:57,1,Downward,Car,194,629,850,0
11:09:03,2,Downward,Car,217,394,902,0
11:09:18,1,Upward,Bus,180,1208,826,0
11:09:43,2,Downward,Bus,373,209,880,1
11:10:04,2,Downward,Car,241,613,955,1
11:10:09,1,Downward,Car,206,645,878,0
11:10:28,1,Upward,Car,165,1025,849,0
11:10:29,1,Upward,Truck_S,204,1027,832,0
11:10:30,1,Upward,Truck_S,182,1200,820,0
11:10:35,1,Upward,Car,136,1200,837,0
11:10:35,1,Upward,Car,145,1012,831,0
11:10:37,2,Downward,Truck_S,240,413,851,0
11:10:37,2,Upward,Truck_S,105,975,749,0
11:10:38,5,Downward,Truck_S,196,247,979,1
11:10:39,1,Upward,Car,145,1001,813,0
11:10:40,1,Upward,Car,218,1257,823,0
11:10:42,1,Upward,Truck_S,179,1212,821,0
11:10:42,3,Downward,Car,242,622,956,0
11:10:42,1,Upward,Truck_S,130,992,844,0
11:10:43,1,Upward,Car,152,1007,838,0
11:10:44,2,Downward,Car,204,650,853,0
11:10:44,1,Upward,Car,359,1048,836,0
11:10:45,1,Downward,Car,208,669,855,0
11:10:46,1,Upward,Car,148,1028,849,0
11:10:46,6,Downward,Car,218,406,852,1
11:10:47,1,Downward,Car,222,265,965,0
11:10:48,1,Downward,Car,257,631,907,0
11:10:48,1,Downward,Car,214,403,881,0
11:10:49,1,Downward,Car,211,680,861,0
11:10:50,1,Downward,Truck_L,302,413,860,0
11:10:50,2,Downward,Truck_S,203,225,973,1
11:10:52,1,Downward,Car,219,645,851,0
11:10:54,1,Upward,Truck_S,126,1071,791,0
11:10:55,2,Downward,Car,225,645,888,0
11:10:56,1,Upward,Car,142,1003,811,0
11:10:57,3,Upward,Truck_S,190,995,848,0
11:11:00,1,Upward,Truck_S,191,1270,839,0
11:11:05,1,Downward,Car,222,643,870,0
11:11:09,1,Downward,Car,190,420,861,0
11:11:12,1,Downward,Car,198,662,871,0
11:11:18,1,Downward,Car,410,334,870,0
11:11:18,2,Downward,Truck_S,245,207,951,1
11:11:20,1,Downward,Car,221,417,871,0
11:11:21,1,Downward,Truck_S,177,616,865,0
11:12:03,1,Upward,Car,137,1016,817,0
11:12:39,1,Upward,Car,148,1019,841,0
11:12:50,1,Downward,Car,265,615,899,0
11:12:52,1,Downward,Car,233,370,891,0
11:12:56,1,Downward,Car,226,620,858,0
11:12:57,1,Upward,Car,154,1022,828,0
11:12:58,1,Upward,Car,129,1157,817,0
11:13:00,2,Downward,Car,188,653,859,0
11:13:01,1,Downward,Car,187,405,881,0
11:13:08,1,Upward,Car,188,1228,831,0
11:13:12,1,Downward,Car,189,425,851,0
11:13:13,1,Downward,Car,211,403,884,0
11:13:13,2,Downward,Car,170,268,992,0
11:13:15,2,Upward,Truck_S,129,1199,829,1
11:13:17,1,Downward,Car,235,404,864,0
11:13:17,1,Downward,Car,202,253,977,0
11:13:21,1,Downward,Car,222,414,894,0
11:13:27,1,Downward,Car,201,652,859,0
11:13:28,1,Downward,Car,199,405,872,1
11:13:30,1,Downward,Car,184,458,868,0
11:13:36,1,Downward,Car,203,396,851,0
11:13:42,1,Downward,Car,211,407,850,0
11:13:53,1,Downward,Car,181,409,862,0
11:14:00,1,Downward,Car,172,439,852,0
11:14:10,1,Upward,Car,133,1015,824,0
11:15:11,1,Downward,Car,228,409,899,0
11:15:20,1,Upward,Car,150,1014,823,0
11:15:25,2,Upward,Car,134,1208,824,1
11:15:27,2,Upward,Car,152,1222,848,0
11:15:29,1,Upward,Car,149,1014,820,0
11:15:32,2,Upward,Car,138,1003,821,0
11:15:33,4,Upward,Truck_S,141,1218,831,0
11:15:35,1,Downward,Car,240,595,883,0
11:15:36,2,Upward,Car,131,1205,818,0
11:15:42,1,Upward,Car,135,1180,828,0
11:15:44,1,Upward,Truck_S,153,1032,833,0
11:15:46,1,Upward,Car,137,1012,829,1
11:15:47,1,Downward,Car,185,454,850,0
11:15:49,1,Downward,Car,172,424,852,0
11:15:52,1,Upward,Car,141,1012,832,0
11:16:07,1,Upward,Car,138,1005,817,0
11:16:08,1,Downward,Car,195,426,876,0
11:16:09,1,Downward,Car,200,645,876,0
11:16:12,1,Downward,Car,202,426,872,0
11:16:31,2,Downward,Truck_L,415,255,861,1
11:16:34,1,Downward,Car,246,432,865,0
11:17:37,1,Downward,Car,202,610,874,0
11:17:42,1,Downward,Car,214,629,869,0
11:17:49,1,Downward,Car,185,650,856,0
11:17:53,2,Upward,Bus,200,1029,848,1
11:17:56,1,Upward,Car,133,994,817,0
11:17:59,1,Upward,Car,144,1021,833,0
11:18:00,1,Upward,Car,130,992,802,0
11:18:00,2,Upward,Car,142,1208,822,0
11:18:01,4,Upward,Truck_S,204,1041,838,0
11:18:04,1,Upward,Car,149,1019,844,0
11:18:06,1,Downward,Car,227,392,884,0
11:18:08,1,Downward,Car,207,424,886,0
11:18:09,2,Downward,Car,219,648,901,0
11:18:11,1,Downward,Car,212,628,889,0
11:18:11,4,Upward,Car,168,1017,811,1
11:18:12,1,Downward,Truck_S,208,435,867,0
11:18:13,2,Upward,Car,202,1010,809,0
11:18:15,1,Downward,Truck_S,214,642,891,0
11:18:16,2,Upward,Truck_L,319,1231,789,1
11:18:18,1,Downward,Car,203,633,880,0
11:18:24,1,Upward,Car,139,1022,830,0
11:18:26,1,Upward,Truck_S,204,1237,847,0
11:18:28,1,Downward,Truck_S,227,444,903,0
11:18:30,1,Downward,Car,198,650,870,0
11:18:34,2,Downward,Car,251,670,888,0
11:18:34,1,Downward,Car,324,343,875,0
11:18:36,1,Downward,Car,230,659,860,0
11:18:37,1,Downward,Truck_L,313,398,875,0
11:18:37,3,Downward,Car,253,270,946,0
11:18:38,1,Downward,Truck_S,250,642,860,0
11:18:38,2,Downward,Car,242,369,888,1
11:18:39,2,Downward,Car,191,238,982,0
11:18:40,1,Downward,Truck_L,422,252,857,0
11:18:44,2,Downward,Car,270,638,855,0
11:18:44,1,Downward,Car,313,376,851,0
11:18:48,1,Downward,Car,213,371,872,0
11:18:59,1,Downward,Car,196,429,850,1
11:19:01,1,Downward,Car,189,429,860,0
11:20:15,1,Downward,Car,221,637,857,0
11:20:17,1,Downward,Car,199,649,875,0
11:20:25,1,Upward,Truck_S,249,1042,806,0
11:20:31,1,Upward,Car,155,1008,827,0
11:20:33,4,Upward,Truck_L,453,1354,841,1
11:20:36,1,Upward,Truck_L,403,1302,847,0
11:20:36,2,Downward,Car,245,630,888,0
11:20:39,1,Upward,Truck_L,453,1406,844,0
11:20:40,2,Upward,Car,149,996,816,0
11:20:43,4,Downward,Car,198,421,870,1
11:20:43,1,Upward,Car,144,1001,817,0
