t_sec,rho,v_mps,n_agents
10.644,0.5,0.8227924091610931,1
10.677,0.5,0.4962598993242042,1
10.711,0.5,0.742990469772161,1
10.744,0.5,1.0675393348422884,1
15.716,0.5,2.509470797772712,1
15.749,0.5,2.095041324894426,1
15.782,0.5,0.8765851606401311,1
15.816,0.5,0.5583399024394736,1
15.849,0.5,0.5110177981837292,1
15.883,0.5,0.47791027447215145,1
15.916,0.5,0.3188287913558901,1
15.949,0.5,0.32832790251303373,1
15.983,0.5,0.23841525390383506,1
16.016,0.5,0.35584024819255433,1
16.049,0.5,0.5904198650621513,1
16.083,0.5,0.6179111260847677,1
16.116,0.5,0.9433079914799684,1
16.149,0.5,0.810736526130263,1
16.183,0.5,0.7101328545307537,1
16.216,0.5,2.249791714255965,1
16.25,0.5,1.598144107559535,1
16.283,0.5,1.532081864784173,1
16.316,0.5,0.7230030267966279,1
16.35,0.5,0.5174296106929356,1
16.383,0.5,0.36582601597040776,1
16.416,0.5,0.22992204480830722,1
16.45,0.5,0.2065915273892435,1
16.483,0.5,0.22014528280129528,1
16.517,0.5,0.27997653255826976,1
16.55,0.5,0.4344809481660574,1
16.583,0.5,0.5574527627593744,1
16.617,0.5,0.6068954338220476,1
16.65,0.5,0.3594301309041847,1
16.683,0.5,1.3026661537160016,1
16.717,0.5,0.8982719333669908,1
16.75,0.5,0.5260493702201058,1
16.783,0.5,0.6436123408337643,1
16.817,0.5,0.44946106909648137,1
16.85,0.5,0.18218788077479994,1
16.884,0.5,0.179283124847906,1
16.917,0.5,0.1442303349542463,1
16.95,0.5,0.1933871802153213,1
16.984,0.5,0.18639558132634665,1
17.017,0.5,0.08622076680312271,1
17.05,0.5,0.14317026604584265,1
17.084,0.5,0.3754212803416102,1
21.622,0.5,1.008103051948933,1
21.655,0.5,0.900272091569036,1
21.688,0.5,0.7615700228557691,1
21.722,0.5,0.6581214694321503,1
21.755,0.5,0.6604358484039513,1
21.788,0.5,0.476144594826165,1
21.822,0.5,0.5588100601143896,1
21.855,0.5,0.8086739095714298,1
21.889,0.5,0.7712283716985452,1
21.922,0.5,1.1701552291410038,1
21.955,0.5,1.1156725906116287,1
21.989,0.5,1.5401400680268043,1
22.022,0.5,1.8929032673399617,1
22.055,0.5,1.5251146292293252,1
22.089,0.5,0.9065799052589855,1
22.122,0.5,0.28740255601039716,1
22.155,0.5,0.34174028272928925,1
