zone,name,category,density_avg,los_avg,density_max,los_max
Z1,대합실_전체,walkway,0.047613333333333334,A,0.11871999999999998,A
Z2,게이트_앞,waiting,0.7144047619047619,A,2.892857142857143,D
Z3A,exit1_접근,walkway,0.32,B,0.7416666666666667,D
Z3B,exit1_대기,walkway,0.31055555555555553,B,1.0333333333333334,E
Z3C,exit1_corridor,walkway,0.017555555555555557,A,0.03333333333333333,A
Z4A,exit4_접근,walkway,0.45652777777777775,C,1.0833333333333333,E
Z4B,exit4_대기,walkway,1.6022222222222227,E,4.766666666666667,F
Z4C,exit4_corridor,walkway,0.02355555555555556,A,0.06666666666666667,A
