p,G_cfg,G_gate_wait,G_esc_wait,G_travel,G_z_bmax,G_los_zbmax,S_cfg,S_gate_wait,S_esc_wait,S_travel,S_z_bmax,S_los_zbmax,binding,savings_s
0.1,1,14.360426618914971,20.952861857272588,46.80141270471944,1.3511111111111112,E,1,14.360426618914971,20.952861857272588,46.80141270471944,1.3511111111111112,E,일치,0.0
0.3,2,10.262901830165513,23.418271231234648,45.66156002838,1.7227777777777777,E,2,10.262901830165513,23.418271231234648,45.66156002838,1.7227777777777777,E,일치,0.0
0.5,3,8.68314128129118,29.980238899107327,50.49537545565832,2.035,F,2,14.983133080495724,24.35791945903546,48.82104263722308,1.31,E,분리 (G:3/S:2),1.6743328184352393
0.7,5,7.184481094508359,28.06808942240905,48.161491887210815,0.06111111111111106,A,5,7.184481094508359,28.06808942240905,48.161491887210815,0.06111111111111106,A,일치,0.0
0.8,5,6.249735498461875,28.53660269001839,48.01743956963956,0.057222222222222174,A,6,7.712448989649671,28.093242603749538,47.56838498724596,0.0494444444444444,A,분리 (G:5/S:6),0.4490545823936003
