p,gate_opt_cfg,gate_opt_wait,sys_opt_cfg,sys_opt_wait,sys_opt_density,sys_feasible,first_F_cfg,binding
0.1,1,14.360426618914971,1,14.360426618914971,1.3511111111111112,True,,일치
0.3,2,10.262901830165513,2,10.262901830165513,1.7227777777777777,True,,일치
0.5,3,8.68314128129118,4,12.316631657518197,1.8327777777777778,True,3.0,분리 (gate:3 vs sys:4)
0.7,4,7.203408348452416,4,7.203408348452416,1.8094444444444444,True,,일치
0.8,4,11.279589104267131,4,11.279589104267131,1.261111111111111,True,,일치
