y_label,y_col,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,n
Zone 3B avg (exit1),zone3b_density_avg,-0.5041132568377998,4.8138188144524786e-11,-0.4295690079941899,4.1235869871329526e-08,-0.33034328086573944,2.2021035799919386e-09,150
Zone 4B avg (exit4),zone4b_density_avg,-0.6484345359214243,2.9381280454301166e-19,-0.41500869852650263,1.2891142184399734e-07,-0.28849190120626456,1.671187394467376e-07,150
Zone B max (시스템),z_bmax,-0.6481056214276543,3.1040189795231003e-19,-0.4151197338099865,1.2782159820017097e-07,-0.2905150882399522,1.3760410350179616e-07,150
