p,G_cfg,G_gate,G_travel,G_zbmax,G_los,S1_cfg,S1_gate,S1_travel,S1_zbmax,S1_los,S1_feasible,S2_cfg,S2_gate,S2_travel,S2_zbmax,S2_los,S2_feasible
0.0,,13.068046290361867,46.34979892992825,1.6022222222222227,E,,13.068046290361867,46.34979892992825,1.6022222222222227,E,True,,13.068046290361867,46.34979892992825,1.6022222222222227,E,False
0.1,1.0,13.789155101877554,47.53143810935882,0.8063888888888888,D,1.0,13.789155101877554,47.53143810935882,0.8063888888888888,D,True,1.0,13.789155101877554,47.53143810935882,0.8063888888888888,D,True
0.3,1.0,5.409490331177624,42.97388712421433,0.7733333333333333,D,1.0,5.409490331177624,42.97388712421433,0.7733333333333333,D,True,1.0,5.409490331177624,42.97388712421433,0.7733333333333333,D,True
0.5,2.0,2.5522653062143865,39.96591870828405,0.6780555555555556,C,1.0,2.971451037572348,39.47898598114845,0.6288888888888888,C,True,1.0,2.971451037572348,39.47898598114845,0.6288888888888888,C,True
0.7,3.0,0.5744937543388171,38.35801429525734,0.6672222222222223,C,2.0,0.6284449979487752,34.47278062273371,0.3258333333333333,B,True,2.0,0.6284449979487752,34.47278062273371,0.3258333333333333,B,True
0.8,3.0,0.21922454123609986,36.65295939501953,0.5527777777777778,C,2.0,1.1938621747508305,32.54630138108255,0.15277777777777776,A,True,2.0,1.1938621747508305,32.54630138108255,0.15277777777777776,A,True
