id,t_in,t_out,passage_time_s,v_gate_mps,v_pre_mps,cx_gate,n_frames
37,24.122,25.87,1.748,0.858,1.367,311.9,96
57,27.657,30.458,2.801,0.536,1.394,246.3,119
